"abbreviation"	"officialName"	"equation"	"reconstruction directionality"	"subSystem"	"proteinClass"	"geneAssociation"	"reaction with marvin charges (pH7)"	"reaction with marvin charges (pH 7.2)"	"delta G (pH 7)"	"mM delta G (pH 7)"	"min delta G (pH 7)"	"max delta G (pH 7)"	"delta G (pH 7.2)"	"uncertainty in delta G (pH 7 or pH 7.2)"	"mM delta G (pH 7.2)"	"min delta G (pH 7.2)"	"max delta G (pH 7.2)"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	" "	" "	"reconstruction directionality"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	
"PYDXNK"	"pyridoxine kinase"	"[c] : atp + pydxn --> adp + h + pdx5p"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"2.7.1.35"	"b2418"	"atp + pydxn --> adp + pdx5p"	"atp + pydxn --> adp + pdx5p"	-3.8	-3.8	-12.8	5.3	-3.8	0.7	-3.8	-12.8	5.2	"reversible"	"reversible"						
"PYDXPP"	"Pyridoxal 5-phosphate phosphatase"	"[c] : h2o + pydx5p --> pi + pydx"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"			"h2o + pydx5p --> h + pi + pydx"	"h2o + pydx5p --> h + pi + pydx"	-2.9	-7	-14.3	-0.7	-2.8	2.2	-6.9	-14.1	-0.6	"forward only"	"reversible"						
"PYK"	"pyruvate kinase"	"[c] : adp + h + pep --> atp + pyr"	"forward only"	"Glycolysis/Gluconeogenesis"	"2.7.1.40"	"( b1854  or  b1676 )"	"adp + pep --> atp + pyr"	"adp + pep --> atp + pyr"	-5.3	-5.3	-14.4	3.7	-5.3	1.9	-5.3	-14.3	3.7	"reversible"	"reversible"						
"PYNP2r"	"pyrimidine-nucleoside phosphorylase (uracil)"	"[c] : pi + uri <==> r1p + ura"	"reversible"	"Nucleotide Salvage Pathway"	"2.4.2.2"	"b3831"	"h + pi + uri <==> r1p + ura"	"h + pi + uri <==> r1p + ura"	2	2	-7	11	1.9	2.8	1.9	-7.2	10.9	"reversible"	"reversible"						
"PYRt2rpp"	"pyruvate reversible transport via proton symport (periplasm)"	"h[p] + pyr[p] <==> h[c] + pyr[c]"	"reversible"	"Transport, Inner Membrane"			"h[p] + pyr[p] <==> h + pyr"	"h[p] + pyr[p] <==> h + pyr"	0	0.3	-5.2	4.8	0	1.5	0.3	-5.2	4.8	"reversible"	"reversible"						
"PYRtex"	"pyruvate transport via diffusion (extracellular to periplasm)"	"pyr[e] <==> pyr[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"pyr[e] <==> pyr[p]"	"pyr[e] <==> pyr[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"QMO2"	"quinol monooxygenase (Ubiquinol-8)"	"[c] : (2) o2 + q8h2 --> (2) h + (2) o2s + q8"	"forward only"	"Oxidative Phosphorylation"		"b3029"	"(2) o2 + q8h2 --> (2) h + (2) o2s + q8"	"(2) o2 + q8h2 --> (2) h + (2) o2s + q8"	8.3	8.3	-6.5	23.2	8.8	8.8	8.8	-6	23.6	"reversible"	"reversible"						
"QMO3"	"quinol monooxygenase (menaquinol 8)"	"[c] : mql8 + (2) o2 --> (2) h + mqn8 + (2) o2s"	"forward only"	"Oxidative Phosphorylation"		"b3029"	"mql8 + (2) o2 --> (2) h + mqn8 + (2) o2s"	"mql8 + (2) o2 --> (2) h + mqn8 + (2) o2s"	12.8	12.8	-2	27.6	13.3	9.2	13.3	-1.6	28.1	"reversible"	"reversible"						
"QULNS"	"quinolinate synthase"	"[c] : dhap + iasp --> (2) h2o + pi + quln"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"		"b0750"	"dhap + iasp --> h + (2) h2o + pi + quln"	"dhap + iasp --> h + (2) h2o + pi + quln"	-11.8	-11.8	-20.8	-2.8	-11.7	7.1	-11.7	-20.7	-2.7	"forward only"	"reversible"						
"R15BPK"	"ribose-1,5-bisphosphokinase"	"[c] : atp + r15bp --> adp + prpp"	"forward only"	"Alternate Carbon Metabolism"		"b4094"	"atp + r15bp --> adp + prpp"	"atp + r15bp --> adp + prpp"	0	0	-9	9	-0.1	1.5	-0.1	-9.1	8.9	"reversible"	"reversible"						
"R1PK"	"ribose 1-phosphokinase"	"[c] : atp + r1p --> adp + h + r15bp"	"forward only"	"Alternate Carbon Metabolism"			"atp + r1p --> adp + r15bp"	"atp + r1p --> adp + r15bp"	-3.8	-3.8	-12.8	5.3	-3.8	0.7	-3.8	-12.8	5.2	"reversible"	"reversible"						
"R5PP"	"ribose 5-phosphate phosphatase"	"[c] : h2o + r5p --> pi + rib-D"	"forward only"	"Alternate Carbon Metabolism"		"b0822"	"h2o + r5p --> h + pi + rib-D"	"h2o + r5p --> h + pi + rib-D"	-2.9	-7	-14.3	-0.7	-2.8	2.2	-6.9	-14.1	-0.6	"forward only"	"reversible"						
"R5PPpp"	"ribose 5-phosphate phosphatase"	"[p] : h2o + r5p --> pi + rib-D"	"forward only"	"Alternate Carbon Metabolism"		"b4055"	"[p] : h2o[p] + r5p[p] --> h[p] + pi[p] + rib-D[p]"	"[p] : h2o[p] + r5p[p] --> h[p] + pi[p] + rib-D[p]"	-2.9	-7	-15.2	1.2	-2.8	2.2	-6.9	-15.1	1.3	"reversible"	"reversible"						
"R5Ptex"	"Ribose 5-phosphate transport via diffusion (extracellular to periplasm)"	"r5p[e] <==> r5p[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"r5p[e] <==> r5p[p]"	"r5p[e] <==> r5p[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"RBFK"	"riboflavin kinase"	"[c] : atp + ribflv --> adp + fmn + h"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"2.7.1.26"	"b0025"	"atp + ribflv --> adp + fmn"	"atp + ribflv --> adp + fmn"	-3.8	-3.8	-12.8	5.3	-3.8	0.7	-3.8	-12.8	5.2	"reversible"	"reversible"						
"RBFSa"	"riboflavin synthase"	"[c] : 4r5au + db4p --> dmlz + (2) h2o + pi"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"2.5.1.9"	"b1662"	"4r5au + db4p --> dmlz + h + (2) h2o + pi"	"4r5au + db4p --> dmlz + h + (2) h2o + pi"	-13.6	-13.6	-22.6	-4.6	-13.4	7.9	-13.4	-22.4	-4.4	"forward only"	"reversible"						
"RBFSb"	"riboflavin synthase"	"[c] : (2) dmlz --> 4r5au + ribflv"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"2.5.1.9"	"b0415"	"(2) dmlz --> 4r5au + ribflv"	"(2) dmlz --> 4r5au + ribflv"	-38.1	-38.1	-47.1	-29.1	-38.1	8.3	-38.1	-47.2	-29.1	"forward only"	"forward only"						
"RBK"	"ribokinase"	"[c] : atp + rib-D --> adp + h + r5p"	"forward only"	"Alternate Carbon Metabolism"	"2.7.1.15"	"b3752"	"atp + rib-D --> adp + r5p"	"atp + rib-D --> adp + r5p"	-3.8	-3.8	-12.8	5.3	-3.8	0.7	-3.8	-12.8	5.2	"reversible"	"reversible"						
"RBK_L1"	"L-ribulokinase (L-ribulose)"	"[c] : atp + rbl-L --> adp + h + ru5p-L"	"forward only"	"Alternate Carbon Metabolism"	"2.7.1.16"	"b0063"	"atp + rbl-L --> adp + ru5p-L"	"atp + rbl-L --> adp + ru5p-L"	-4	-4	-13.1	5	-4.1	3.4	-4.1	-13.1	4.9	"reversible"	"reversible"						
"RBP4E"	"L-ribulose-phosphate 4-epimerase"	"[c] : ru5p-L <==> xu5p-D"	"reversible"	"Alternate Carbon Metabolism"	"5.1.3.4"	"( b0061  or  b4198  or  b3583 )"	"ru5p-L <==> xu5p-D"	"ru5p-L <==> xu5p-D"	0	0	-4.5	4.5	0	1.5	0	-4.5	4.5	"reversible"	"reversible"						
"RHAT1"	"rhamnosyltransferase I (LPS core biosynthesis)"	"[c] : dtdprmn + kphphhlipa --> dtdp + h + icolipa"	"forward only"	"Lipopolysaccharide Biosynthesis / Recycling"		"b3629"	"dtdprmn + kphphhlipa --> dtdp + icolipa"	"dtdprmn + kphphhlipa --> dtdp + icolipa"	-1.4	-1.4	-10.4	7.7	-1.4	1.8	-1.4	-10.4	7.7	"reversible"	"reversible"						
"RHCCE"	"S-ribosylhomocysteine cleavage enzyme"	"[c] : rhcys --> dhptd + hcys-L"	"forward only"	"Methionine Metabolism"		"b2687"	"rhcys --> dhptd + hcys-L"	"rhcys --> dhptd + hcys-L"	-3.8	-7.9	-15.2	-1.7	-3.8	4.6	-7.9	-15.2	-1.7	"forward only"	"reversible"						
"RIBabcpp"	"D-ribose transport via ABC system (periplasm)"	"atp[c] + h2o[c] + rib-D[p] --> adp[c] + h[c] + pi[c] + rib-D[c]"	"forward only"	"Transport, Inner Membrane"		"( ( b4231  and  b4227  and  b4485  and  b4230 )  or  ( b3749  and  b3751  and  b3750  and  b3748 )  or  ( b4087  and  b4088  and  b4086 ) )"	"atp + h2o + rib-D[p] --> adp + h + pi + rib-D"	"atp + h2o + rib-D[p] --> adp + h + pi + rib-D"	-6.7	-10.8	-23.5	0	-6.6	2.2	-10.7	-23.4	0.1	"reversible"	"reversible"						
"RIBtex"	"ribose transport via diffusion (extracellular to periplasm)"	"rib-D[e] <==> rib-D[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"rib-D[e] <==> rib-D[p]"	"rib-D[e] <==> rib-D[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"RMI"	"L-rhamnose isomerase"	"[c] : rmn <==> rml"	"reversible"	"Alternate Carbon Metabolism"	"5.3.1.14"	"b3903"	"rmn <==> rml"	"rmn <==> rml"	1	1	-3.6	5.5	1	4.2	1	-3.6	5.5	"reversible"	"reversible"						
"RMK"	"rhamnulokinase"	"[c] : atp + rml --> adp + h + rml1p"	"forward only"	"Alternate Carbon Metabolism"	"2.7.1.5"	"b3904"	"atp + rml --> adp + rml1p"	"atp + rml --> adp + rml1p"	-3.8	-3.8	-12.8	5.3	-3.8	0.7	-3.8	-12.8	5.2	"reversible"	"reversible"						
"RMNtex"	"L-rhamnose transport via diffusion (extracellular to periplasm)"	"rmn[e] <==> rmn[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"rmn[e] <==> rmn[p]"	"rmn[e] <==> rmn[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"RMNtpp"	"L-rhamnose transport via proton symport (periplasm)"	"h[p] + rmn[p] --> h[c] + rmn[c]"	"forward only"	"Transport, Inner Membrane"		"b3907"	"h[p] + rmn[p] --> h + rmn"	"h[p] + rmn[p] --> h + rmn"	0	-3.2	-8.6	1.3	0	1.5	-3.2	-8.6	1.3	"reversible"	"reversible"						
"RMPA"	"Rhamnulose-1-phosphate aldolase"	"[c] : rml1p <==> dhap + lald-L"	"reversible"	"Alternate Carbon Metabolism"	"4.1.2.19"	"b3902"	"rml1p <==> dhap + lald-L"	"rml1p <==> dhap + lald-L"	2.4	-1.7	-8.9	4.6	2.4	1.1	-1.7	-8.9	4.6	"reversible"	"reversible"						
"RNDR1"	"ribonucleoside-diphosphate reductase (ADP)"	"[c] : adp + trdrd --> dadp + h2o + trdox"	"forward only"	"Nucleotide Salvage Pathway"	"1.17.4.1"	"( ( ( b2234  and  b2235 )  and  b3781 )  or  ( ( b2234  and  b2235 )  and  b2582 ) )"	"adp + trdrd --> dadp + h2o + trdox"	"adp + trdrd --> dadp + h2o + trdox"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"RNDR1b"	"ribonucleoside-diphosphate reductase (ADP) (glutaredoxin)"	"[c] : adp + grxrd --> dadp + grxox + h2o"	"forward only"	"Nucleotide Salvage Pathway"		"( ( b1654  and  ( b2675  and  b2676 ) )  or  ( b0849  and  ( b2675  and  b2676 ) )  or  ( b1064  and  ( b2675  and  b2676 ) )  or  ( b3610  and  ( b2675  and  b2676 ) ) )"	"adp + grxrd --> dadp + grxox + h2o"	"adp + grxrd --> dadp + grxox + h2o"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"RNDR2"	"ribonucleoside-diphosphate reductase (GDP)"	"[c] : gdp + trdrd --> dgdp + h2o + trdox"	"forward only"	"Nucleotide Salvage Pathway"	"1.17.4.1"	"( ( ( b2234  and  b2235 )  and  b2582 )  or  ( ( b2234  and  b2235 )  and  b3781 ) )"	"gdp + trdrd --> dgdp + h2o + trdox"	"gdp + trdrd --> dgdp + h2o + trdox"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"RNDR2b"	"ribonucleoside-diphosphate reductase (GDP) (glutaredoxin)"	"[c] : gdp + grxrd --> dgdp + grxox + h2o"	"forward only"	"Nucleotide Salvage Pathway"		"( ( b3610  and  ( b2675  and  b2676 ) )  or  ( b1064  and  ( b2675  and  b2676 ) )  or  ( b1654  and  ( b2675  and  b2676 ) )  or  ( b0849  and  ( b2675  and  b2676 ) ) )"	"gdp + grxrd --> dgdp + grxox + h2o"	"gdp + grxrd --> dgdp + grxox + h2o"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"RNDR3"	"ribonucleoside-diphosphate reductase (CDP)"	"[c] : cdp + trdrd --> dcdp + h2o + trdox"	"forward only"	"Nucleotide Salvage Pathway"	"1.17.4.1"	"( ( ( b2234  and  b2235 )  and  b2582 )  or  ( ( b2234  and  b2235 )  and  b3781 ) )"	"cdp + trdrd --> dcdp + h2o + trdox"	"cdp + trdrd --> dcdp + h2o + trdox"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"RNDR3b"	"ribonucleoside-diphosphate reductase (CDP) (glutaredoxin)"	"[c] : cdp + grxrd --> dcdp + grxox + h2o"	"forward only"	"Nucleotide Salvage Pathway"		"( ( b1654  and  ( b2675  and  b2676 ) )  or  ( b1064  and  ( b2675  and  b2676 ) )  or  ( b0849  and  ( b2675  and  b2676 ) )  or  ( b3610  and  ( b2675  and  b2676 ) ) )"	"cdp + grxrd --> dcdp + grxox + h2o"	"cdp + grxrd --> dcdp + grxox + h2o"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"RNDR4"	"ribonucleoside-diphosphate reductase (UDP)"	"[c] : trdrd + udp --> dudp + h2o + trdox"	"forward only"	"Nucleotide Salvage Pathway"	"1.17.4.1"	"( ( ( b2234  and  b2235 )  and  b2582 )  or  ( ( b2234  and  b2235 )  and  b3781 ) )"	"trdrd + udp --> dudp + h2o + trdox"	"trdrd + udp --> dudp + h2o + trdox"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"RNDR4b"	"ribonucleoside-diphosphate reductase (UDP) (glutaredoxin)"	"[c] : grxrd + udp --> dudp + grxox + h2o"	"forward only"	"Nucleotide Salvage Pathway"		"( ( b1064  and  ( b2675  and  b2676 ) )  or  ( b3610  and  ( b2675  and  b2676 ) )  or  ( b1654  and  ( b2675  and  b2676 ) )  or  ( b0849  and  ( b2675  and  b2676 ) ) )"	"grxrd + udp --> dudp + grxox + h2o"	"grxrd + udp --> dudp + grxox + h2o"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"RNTR1c"	"ribonucleoside-triphosphate reductase (ATP) (flavodoxin)"	"[c] : atp + fldrd --> datp + fldox + h2o"	"forward only"	"Nucleotide Salvage Pathway"		"( ( b2895  and  b3924  and  b4238  and  b4237 )  or  ( b2895  and  b4238 )  or  ( b0684  and  b4238 )  or  ( b0684  and  b3924  and  b4238  and  b4237 ) )"	"atp + fldrd --> datp + fldox + h2o"	"atp + fldrd --> datp + fldox + h2o"	-16.7	-16.7	-25.8	-7.7	-16.7	1.8	-16.7	-25.8	-7.7	"forward only"	"forward only"						
"RNTR2c"	"ribonucleoside-triphosphate reductase (GTP) (flavodoxin)"	"[c] : fldrd + gtp --> dgtp + fldox + h2o"	"forward only"	"Nucleotide Salvage Pathway"		"( ( b0684  and  b4238 )  or  ( b2895  and  b4238 )  or  ( b2895  and  b3924  and  b4238  and  b4237 )  or  ( b0684  and  b3924  and  b4238  and  b4237 ) )"	"fldrd + gtp --> dgtp + fldox + h2o"	"fldrd + gtp --> dgtp + fldox + h2o"	-16.7	-16.7	-25.8	-7.7	-16.7	1.8	-16.7	-25.8	-7.7	"forward only"	"forward only"						
"RNTR3c"	"ribonucleoside-triphosphate reductase (CTP) (flavodoxin)"	"[c] : ctp + fldrd --> dctp + fldox + h2o"	"forward only"	"Nucleotide Salvage Pathway"		"( ( b2895  and  b4238 )  or  ( b0684  and  b3924  and  b4238  and  b4237 )  or  ( b0684  and  b4238 )  or  ( b2895  and  b3924  and  b4238  and  b4237 ) )"	"ctp + fldrd + h --> dctp + fldox + h2o"	"ctp + fldrd + h --> dctp + fldox + h2o"	-16.7	-16.7	-25.8	-7.7	-17	1.8	-17	-26	-8	"forward only"	"forward only"						
"RNTR4c"	"ribonucleoside-triphosphate reductase (UTP) (flavodoxin)"	"[c] : fldrd + utp --> dutp + fldox + h2o"	"forward only"	"Nucleotide Salvage Pathway"		"( ( b0684  and  b3924  and  b4238  and  b4237 )  or  ( b2895  and  b4238 )  or  ( b0684  and  b4238 )  or  ( b2895  and  b3924  and  b4238  and  b4237 ) )"	"fldrd + utp --> dutp + fldox + h2o"	"fldrd + utp --> dutp + fldox + h2o"	-16.7	-16.7	-25.8	-7.7	-16.7	1.8	-16.7	-25.8	-7.7	"forward only"	"forward only"						
"RPE"	"ribulose 5-phosphate 3-epimerase"	"[c] : ru5p-D <==> xu5p-D"	"reversible"	"Pentose Phosphate Pathway"	"5.1.3.1"	"( b4301  or  b3386 )"	"ru5p-D <==> xu5p-D"	"ru5p-D <==> xu5p-D"	0	0	-4.5	4.5	0	1.5	0	-4.5	4.5	"reversible"	"reversible"						
"RPI"	"ribose-5-phosphate isomerase"	"[c] : r5p <==> ru5p-D"	"reversible"	"Pentose Phosphate Pathway"	"5.3.1.6"	"( b2914  or  b4090 )"	"r5p <==> ru5p-D"	"r5p <==> ru5p-D"	0.5	0.5	-4	5	0.5	3.7	0.5	-4	5	"reversible"	"reversible"						
"RZ5PP"	"alpha-ribazole 5-phosphate phosphatase"	"[c] : 5prdmbz + h2o --> pi + rdmbzi"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"		"b0638"	"5prdmbz + h2o --> h + pi + rdmbzi"	"5prdmbz + h2o --> h + pi + rdmbzi"	-2.9	-7	-14.3	-0.7	-2.8	2.2	-6.9	-14.1	-0.6	"forward only"	"reversible"						
"S7PI"	"sedoheptulose 7-phosphate isomerase"	"[c] : s7p --> gmhep7p"	"forward only"	"Lipopolysaccharide Biosynthesis / Recycling"		"b0222"	"s7p --> gmhep7p"	"s7p --> gmhep7p"	-1	-1	-5.5	3.6	-1	4.2	-1	-5.5	3.6	"reversible"	"reversible"						
"SADH"	"Succinylarginine dihydrolase"	"[c] : (2) h + (2) h2o + sucarg --> co2 + (2) nh4 + sucorn"	"forward only"	"Arginine and Proline Metabolism"	"2.6.1.69"	"b1745"	"(2) h + (2) h2o + sucarg --> co2 + (2) nh4 + sucorn"	"(2) h + (2) h2o + sucarg --> co2 + (2) nh4 + sucorn"	-10.5	-22.8	-46.4	-14.5	-11	6.3	-23.3	-46.9	-15	"forward only"	"forward only"						
"SADT2"	"Sulfate adenyltransferase"	"[c] : atp + gtp + h2o + so4 --> aps + gdp + pi + ppi"	"forward only"	"Cysteine Metabolism"		"( b2751  and  b2752 )"	"atp + gtp + h + h2o + so4 --> aps + gdp + pi + ppi"	"atp + gtp + h + h2o + so4 --> aps + gdp + pi + ppi"	5.1	1	-15.2	16.3	4.7	3.7	0.6	-15.7	15.9	"reversible"	"reversible"						
"SARCOX"	"sarcosine oxidase"	"[c] : h2o + o2 + sarcs --> fald + gly + h2o2"	"forward only"	"Glycine and Serine Metabolism"	"1.5.3.1"	"b1059"	"h2o + o2 + sarcs --> fald + gly + h2o2"	"h2o + o2 + sarcs --> fald + gly + h2o2"	-19.4	-21.8	-31.8	-8.6	-19.3	3.9	-21.7	-31.7	-8.5	"forward only"	"forward only"						
"SBTPD"	"sorbitol-6-phosphate dehydrogenase"	"[c] : nad + sbt6p <==> f6p + h + nadh"	"reversible"	"Alternate Carbon Metabolism"	"1.1.1.140"	"b2705"	"nad + sbt6p <==> f6p + h + nadh"	"nad + sbt6p <==> f6p + h + nadh"	1.9	1.9	-7.1	10.9	2.2	4.8	2.2	-6.8	11.2	"reversible"	"reversible"						
"SBTptspp"	"D-sorbitol transport via PEP:Pyr PTS (periplasm)"	"pep[c] + sbt-D[p] --> pyr[c] + sbt6p[c]"	"forward only"	"Transport, Inner Membrane"		"( b2415  and  b2416  and  b2702  and  b2704  and  b2703 )"	"pep + sbt-D[p] --> pyr + sbt6p"	"pep + sbt-D[p] --> pyr + sbt6p"	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	"forward only"	"reversible"						
"SBTtex"	"D-sorbitol transport via diffusion (extracellular to periplasm)"	"sbt-D[e] <==> sbt-D[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"sbt-D[e] <==> sbt-D[p]"	"sbt-D[e] <==> sbt-D[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"SDPDS"	"succinyl-diaminopimelate desuccinylase"	"[c] : h2o + sl26da --> 26dap-LL + succ"	"forward only"	"Threonine and Lysine Metabolism"	"3.5.1.18"	"b2472"	"h2o + sl26da --> 26dap-LL + succ"	"h2o + sl26da --> 26dap-LL + succ"	-0.3	-4.4	-11.7	1.8	-0.3	2.5	-4.4	-11.7	1.8	"reversible"	"reversible"						
"SDPTA"	"succinyldiaminopimelate transaminase"	"[c] : akg + sl26da <==> glu-L + sl2a6o"	"reversible"	"Threonine and Lysine Metabolism"	"2.6.1.17"	"b3359"	"akg + sl26da <==> glu-L + sl2a6o"	"akg + sl26da <==> glu-L + sl2a6o"	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"						
"SELCYSS"	"selenocysteine synthase"	"[c] : selnp + sertrna(sec) --> h + pi + sectrna"	"forward only"	"tRNA Charging"	"2.9.1.1"	"b3591"	"selnp + sertrna(sec) --> h + pi + sectrna"	"selnp + sertrna(sec) --> h + pi + sectrna"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"SELNPS"	"Selenophosphate synthase"	"[c] : atp + h2o + seln --> amp + pi + selnp"	"forward only"	"Unassigned"	"2.7.9.3"	"b1764"	"atp + h2o + seln --> amp + pi + selnp"	"atp + h2o + seln --> amp + pi + selnp"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"SERASr"	"(L-seryl)adenylate synthase"	"[c] : atp + h + ser-L <==> ppi + seramp"	"reversible"	"Cofactor and Prosthetic Group Biosynthesis"		"b0586"	"atp + (2) h + ser-L <==> ppi + seramp"	"atp + (2) h + ser-L <==> ppi + seramp"	-2.2	-2.2	-11.2	6.8	-2.8	4.1	-2.8	-11.9	6.2	"reversible"	"reversible"						
"SERAT"	"serine O-acetyltransferase"	"[c] : accoa + ser-L <==> acser + coa"	"reversible"	"Cysteine Metabolism"	"2.3.1.30"	"b3607"	"accoa + ser-L <==> acser + coa"	"accoa + ser-L <==> acser + coa"	-3.7	-3.7	-12.7	5.3	-3.7	3.3	-3.7	-12.7	5.3	"reversible"	"reversible"						
"SERD_D"	"D-serine deaminase"	"[c] : ser-D --> nh4 + pyr"	"forward only"	"Glycine and Serine Metabolism"		"b2366"	"ser-D --> nh4 + pyr"	"ser-D --> nh4 + pyr"	-7.4	-11.5	-18.8	-5.2	-7.4	1.9	-11.5	-18.8	-5.2	"forward only"	"forward only"						
"SERD_L"	"L-serine deaminase"	"[c] : ser-L --> nh4 + pyr"	"forward only"	"Glycine and Serine Metabolism"	"4.3.1.17"	"( b4471  or  b1814  or  b2797  or  b3708 )"	"ser-L --> nh4 + pyr"	"ser-L --> nh4 + pyr"	-7.4	-11.5	-18.8	-5.2	-7.4	1.9	-11.5	-18.8	-5.2	"forward only"	"forward only"						
"SERt2rpp"	"L-serine reversible transport via proton symport (periplasm)"	"h[p] + ser-L[p] <==> h[c] + ser-L[c]"	"reversible"	"Transport, Inner Membrane"		"( b2796  or  b3116 )"	"h[p] + ser-L[p] <==> h + ser-L"	"h[p] + ser-L[p] <==> h + ser-L"	0	-3.2	-8.6	1.3	0	1.5	-3.2	-8.6	1.3	"reversible"	"reversible"						
"SERt4pp"	"L-serine via sodium symport (periplasm)"	"na1[p] + ser-L[p] --> na1[c] + ser-L[c]"	"forward only"	"Transport, Inner Membrane"		"b3089"	"na1[p] + ser-L[p] --> na1 + ser-L"	"na1[p] + ser-L[p] --> na1 + ser-L"	0	-3.5	-14.4	5.5	0	1.5	-3.5	-14.4	5.5	"reversible"	"reversible"						
"SERtex"	"L-serine transport via diffusion (extracellular to periplasm)"	"ser-L[e] <==> ser-L[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"ser-L[e] <==> ser-L[p]"	"ser-L[e] <==> ser-L[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"SERTRS"	"Seryl-tRNA synthetase"	"[c] : atp + ser-L + trnaser --> amp + ppi + sertrna"	"forward only"	"tRNA Charging"	"6.1.1.11"	"b0893"	"atp + ser-L + trnaser --> amp + ppi + sertrna"	"atp + ser-L + trnaser --> amp + ppi + sertrna"	-7	-7	-20.6	6.5	-7.1	2.4	-7.1	-20.7	6.4	"reversible"	"reversible"						
"SERTRS2"	"Seryl-tRNA synthetase (selenocystein)"	"[c] : atp + ser-L + trnasecys --> amp + ppi + sertrna(sec)"	"forward only"	"tRNA Charging"	"6.1.1.11"	"b0893"	"atp + ser-L + trnasecys --> amp + ppi + sertrna(sec)"	"atp + ser-L + trnasecys --> amp + ppi + sertrna(sec)"	-7	-7	-20.6	6.5	-7.1	2.4	-7.1	-20.7	6.4	"reversible"	"reversible"						
"SFGTHi"	"S-Formylglutathione hydralase"	"[c] : Sfglutth + h2o --> for + gthrd + h"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"3.1.2.12"	"( b2154  or  b0355 )"	"Sfglutth + h2o --> for + gthrd + h"	"Sfglutth + h2o --> for + gthrd + h"	-4.5	-8.6	-15.9	-2.3	-4.2	3.7	-8.3	-15.6	-2.1	"forward only"	"reversible"						
