CPLX0-1962	3-hydroxy acid dehydrogenase	(("EG12345-MONOMER", 4))
CPLX0-7452	Flagellum	(("EG10841-MONOMER", 5) ("EG10321-MONOMER", 1) ("EG11545-MONOMER", 1) ("EG11967-MONOMER", 1) ("G361-MONOMER", 120) ("CPLX0-7451", 1) ("G370-MONOMER", 1) ("G7028-MONOMER", 1) ("EG11224-MONOMER", 1) ("EG11975-MONOMER", 1) ("EG11976-MONOMER", 1) ("EG11977-MONOMER", 1) ("EG11656-MONOMER", 12) ("G377-MONOMER", 6) ("G378-MONOMER", 1) ("FLAGELLAR-MOTOR-COMPLEX", 1) ("FLIN-FLAGELLAR-C-RING-SWITCH", 1) ("FLIM-FLAGELLAR-C-RING-SWITCH", 34) ("FLIG-FLAGELLAR-SWITCH-PROTEIN", 26) ("CPLX0-7450", 1) ("FLGH-FLAGELLAR-L-RING", 1) ("MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN", 1) ("MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN", 1) ("FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN", 1) ("FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN", 1) ("FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN", 1) ("FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN", 1) ("FLGI-FLAGELLAR-P-RING", 1) ("FLIF-FLAGELLAR-MS-RING", 1) ("EG11346-MONOMER", 1))
CPLX-8332	MoaC hexamer	(("CPLX-8331", 3) ("EG11666-MONOMER", 6))
ATPD-CPLX	ATP synthase F<sub>1</sub> complex - beta subunit	(("ATPD-MONOMER", 3))
CPLX0-7922	cell division inhibitor, nucleoid occlusion	(("EG11191-MONOMER", 2))
CPLX0-7709	glutamate-putrescine ligase	(("G6644-MONOMER", 12))
MENE-CPLX	<i>o</i>-succinylbenzoate-CoA ligase	(("O-SUCCINYLBENZOATE-COA-LIG-MONOMER", 4))
CPLX0-3301	DNA replication inhibitor	(("EG11111-MONOMER", 2))
ACPSUB-CPLX	citrate lyase [acyl carrier protein] component	(("ACPSUB-MONOMER", 6))
TORS-CPLX	TorS sensory histidine kinase	(("TORS-MONOMER", 2))
CYTIDEAM-CPLX	cytidine deaminase	(("CYTIDEAM-MONOMER", 2))
DCYSDESULF-CPLX	D-cysteine desulfhydrase, PLP-dependent / 3-chloro-D-alanine dehydrochlorinase	(("DCYSDESULF-MONOMER", 2))
ALPHA-SUBUNIT-CPLX	trimer complex of formate dehydrogenase-N &alpha;, &beta; and &gamma; subunits	(("FDNG-MONOMER", 1) ("FDNH-MONOMER", 1) ("FDNI-MONOMER", 1))
CHORISMUTPREPHENDEHYDRAT-CPLX	chorismate mutase / prephenate dehydratase	(("CHORISMUTPREPHENDEHYDRAT-MONOMER", 2))
CPLX0-3841	4-diphosphocytidyl-2-C-methylerythritol kinase	(("EG11294-MONOMER", 2))
CPLX-3945	curli secretion and assembly complex	(("G6544-MONOMER", 1) ("G6545-MONOMER", 1) ("G6543-MONOMER", 1))
ABC-58-CPLX	autoinducer-2 ABC transporter	(("YDEX-MONOMER", 2) ("YDEY-MONOMER", 1) ("YDEZ-MONOMER", 1) ("YNEA-MONOMER", 1))
ORNCARBAMTRANSFERI-CPLX	ornithine carbamoyltransferase chain I	(("CHAINI-MONOMER", 3))
CPLX0-7693	NADH:quinone reductase, FMN dependent / NADH-azoreductase	(("G6731-MONOMER", 2))
GLUTAMIDOTRANS-CPLX	imidazole glycerol phosphate synthase	(("CYCLASE-MONOMER", 1) ("GLUTAMIDOTRANS-MONOMER", 1))
GLUTATHIONE-REDUCT-NADPH-CPLX	glutathione reductase	(("GLUTATHIONE-REDUCT-NADPH-MONOMER", 2))
CPLX0-246	L-cysteine desulfurase	(("G6906-MONOMER", 2))
CPLX0-7685	hypoxanthine phosphoribosyltransferase	(("HYPOXANPRIBOSYLTRAN-MONOMER", 4))
CPLX0-303	fructose 1,6-bisphosphatase II	(("EG11517-MONOMER", 2))
CPLX0-7939	regulator of KefC-mediated potassium transport and quinone oxidoreductase	(("EG11568-MONOMER", 2))
CPLX0-7961	chloride:H<sup>+</sup> antiporter ClcA	(("YADQ-MONOMER", 2))
CPLX0-7935	predicted carbon-phosphorous lyase complex	(("EG10716-MONOMER", 4) ("EG10717-MONOMER", 2) ("EG10718-MONOMER", 2) ("EG10719-MONOMER", 2) ("PHNK-MONOMER", 1))
ACYLCOASYN-CPLX	fatty acyl-CoA synthetase	(("ACYLCOASYN-MONOMER", 2))
ATPSYN-CPLX	ATP synthase	(("F-1-CPLX", 1) ("ATPC-MONOMER", 1) ("ATPH-MONOMER", 1) ("ATPA-MONOMER", 3) ("ATPA-CPLX", 1) ("ATPG-MONOMER", 1) ("ATPD-MONOMER", 3) ("ATPD-CPLX", 1) ("F-O-CPLX", 1) ("ATPE-MONOMER", 10) ("ATPE-CPLX", 1) ("ATPF-MONOMER", 2) ("ATPF-CPLX", 1) ("ATPB-MONOMER", 1))
HISTDEHYD-CPLX	histidinal dehydrogenase / histidinol dehydrogenase	(("HISTDEHYD-MONOMER", 2))
DIOHBUTANONEPSYN-CPLX	3,4-dihydroxy-2-butanone 4-phosphate synthase	(("DIOHBUTANONEPSYN-MONOMER", 2))
CPLX0-7756	NsrR DNA-binding transcriptional repressor	(("EG11212-MONOMER", 2))
TRANSENOYLCOARED-CPLX	trans-2-enoyl-CoA reductase (NADPH)	(("TRANSENOYLCOARED-MONOMER", 2))
CPLX0-7942	Grx4-BolA complex	(("EG12181-MONOMER", 1) ("EG10125-MONOMER", 1))
CPLX0-2502	molybdopterin synthase	(("EG11598-MONOMER", 2) ("EG11597-MONOMER", 2))
ACETOACETYL-COA-TRANSFER-CPLX	acetoacetyl-CoA transferase	(("ATOD-CPLX", 1) ("ATOD-MONOMER", 2) ("ATOA-CPLX", 1) ("ATOA-MONOMER", 2))
GLUTAMINA-CPLX	glutaminase A	(("GLUTAMINA-MONOMER", 4))
DIAMINOPIMDECARB-CPLX	diaminopimelate decarboxylase	(("DIAMINOPIMDECARB-MONOMER", 4))
ABC-48-CPLX	YnjC/YnjD ABC transporter	(("YNJD-MONOMER", 2) ("YNJC-MONOMER", 2))
CPLX0-3	primosomal replication protein N	(("EG10764-MONOMER", 2))
ABC-56-CPLX	aliphatic sulfonate ABC transporter	(("YCBE-MONOMER", 2) ("YCBM-MONOMER", 2) ("G6478-MONOMER", 1))
GST-CPLX	glutathione S-transferase	(("GST-MONOMER", 2))
CPLX0-902	probable 4-oxalocrotonate tautomerase (4-OT)	(("EG11761-MONOMER", 2))
PC00061	Cra DNA-binding transcriptional dual regulator	(("PD00521", 4))
LYSU-CPLX	Ap<sub>3</sub>A synthetase / Ap<sub>4</sub>A synthetase / lysyl-tRNA synthetase	(("LYSU-MONOMER", 2))
LUMAZINESYN-CPLX	6,7-dimethyl-8-ribityllumazine synthase	(("LUMAZINESYN-MONOMER", 60))
KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase	(("KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER", 3))
ADENYLYLSULFKIN-CPLX	adenylylsulfate kinase	(("ADENYLYLSULFKIN-MONOMER", 2))
CPLX0-2161	EmrKY-TolC multidrug efflux transport system	(("CPLX0-7964", 1) ("EG11009-MONOMER", 3) ("EMRY-MONOMER", 1) ("G7233-MONOMER", 1))
CPLX0-7993	ureidoglycolate dehydrogenase	(("G6286-MONOMER", 2))
CPLX-157	glucose PTS permease	(("CRR-MONOMER", 1) ("PTSG-MONOMER", 2))
CPLX0-7679	Zur transcriptional repressor	(("EG11929-MONOMER", 2))
FUMARASE-B	fumarase B	(("FUMB-MONOMER", 2))
CPLX0-7796	MetJ-S-adenosylmethionine DNA-binding transcriptional repressor	(("MONOMER0-157", 2) ("PD04032", 2) ("S-ADENOSYLMETHIONINE", 2))
URACIL-PRIBOSYLTRANS-CPLX	uracil phosphoribosyltransferase	(("URACIL-PRIBOSYLTRANS-MONOMER", 3))
NUCLEOSIDE-DIP-KIN-CPLX	nucleoside diphosphate kinase	(("NUCLEOSIDE-DIP-KIN-MONOMER", 4))
GLUTDECARBOXB-CPLX	glutamate decarboxylase B	(("GLUTDECARBOXB-MONOMER", 6))
CPLX0-7986	HypCD complex involved in hydrogenase maturation	(("EG10485-MONOMER", 1) ("EG10486-MONOMER", 1))
CPLX0-7947	succinylarginine dihydrolase	(("SUCCARGDIHYDRO-MONOMER", 2))
CPLX0-7719	quinolinate synthase	(("QUINOLINATE-SYNTHA-MONOMER", 2))
CPLX0-7984	S-glutathionyl-(chloro)hydroquinone reductase	(("G7616-MONOMER", 2))
CPLX0-7956	CsrA dimer	(("EG11447-MONOMER", 2))
LYSS-CPLX	lysyl-tRNA synthetase, constitutive	(("LYSS-MONOMER", 2))
O-SUCCHOMOSERLYASE-CPLX	O-succinylhomoserine lyase / O-succinylhomoserine(thiol)-lyase	(("O-SUCCHOMOSERLYASE-MONOMER", 4))
CPLX0-7889	EF-P-lysine lysyltransferase	(("EG11211-MONOMER", 2))
CPLX0-3221	DnaA initiator-associating factor for replication initiation	(("YRAO-MONOMER", 2))
FADB-CPLX	fatty acid oxidation complex, &alpha; component	(("FADB-MONOMER", 2))
CPLX0-7878	oxalyl-CoA decarboxylase	(("G7236-MONOMER", 4))
LYSDECARBOX-CPLX	lysine decarboxylase 1	(("LYSDECARBOX-MONOMER", 10))
IMP-DEHYDROG-CPLX	IMP dehydrogenase	(("IMP-DEHYDROG-MONOMER", 4))
CPLX0-7733	AsnC DNA-binding transcriptional dual regulator	(("PD00250", 2))
CPLX0-2401	tryptophan synthase, &beta; subunit dimer	(("TRYPSYN-BPROTEIN", 2))
7KAPSYN-CPLX	8-amino-7-oxononanoate synthase	(("7KAPSYN-MONOMER", 2))
CPLX0-2921	serine protease Do	(("EG10463-MONOMER", 6))
CPLX0-7711	Skp periplasmic chaperone	(("EG10455-MONOMER", 3))
CPLX0-3661	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	(("G7590-MONOMER", 2))
PC00027	IHF DNA-binding transcriptional dual regulator	(("PD00348", 1) ("PD00347", 1))
ABC-60-CPLX	YphD/YphE/YphF ABC transporter	(("YPHE-MONOMER", 2) ("G7342-MONOMER", 1) ("YPHD-MONOMER", 2))
CPLX0-7632	NAD(P)H:quinone oxidoreductase	(("PD01343", 4))
CPLX0-7811	protoporphyrinogen oxidase	(("PROTOPORGENOXI-MONOMER", 4))
CPLX0-7710	MarR DNA-binding transcriptional repressor	(("PD00364", 2))
CPLX0-7535	AdiC arginine:agmatine antiporter	(("YJDE-MONOMER", 2))
DUTP-PYROP-CPLX	deoxyuridine triphosphatase	(("DUTP-PYROP-MONOMER", 3))
CPLX0-743	1-deoxyxylulose-5-phosphate synthase	(("DXS-MONOMER", 2))
PANTOATE-BETA-ALANINE-LIG-CPLX	pantothenate synthetase	(("PANTOATE-BETA-ALANINE-LIG-MONOMER", 2))
ABC-22-CPLX	peptide ABC transporter OppABCDF	(("OPPA-MONOMER", 1) ("OPPB-MONOMER", 1) ("OPPF-MONOMER", 1) ("OPPD-MONOMER", 1) ("OPPC-MONOMER", 1))
MALDEXPHOSPHORYL-CPLX	maltodextrin phosphorylase	(("MALDEXPHOSPHORYL-MONOMER", 2))
CPLX0-7641	Zn<sup>2+</sup> / Fe<sup>2+</sup> / Cd<sup>2+</sup> efflux transporter FieF	(("YIIP-MONOMER", 2))
CPLX0-1923	TonB energy transducing system	(("EG10272-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG11012-MONOMER", 1))
SIROHEMESYN-CPLX	uroporphyrin III C-methyltransferase [multifunctional]	(("SIROHEMESYN-MONOMER", 2))
GLUCOSE-1-PHOSPHAT-CPLX	3-phytase / glucose-1-phosphatase	(("GLUCOSE-1-PHOSPHAT-MONOMER", 2))
CPLX0-7794	succinate semialdehyde reductase	(("EG11847-MONOMER", 4))
CPLX0-7688	succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>)	(("SUCCSEMIALDDEHYDROG-MONOMER", 4))
ACETYLGLUTKIN-CPLX	acetylglutamate kinase	(("ACETYLGLUTKIN-MONOMER", 2))
CPLX-8029	thiazole synthase	(("CPLX0-3949", 6) ("THIG-MONOMER", 6) ("THIH-MONOMER", 6))
THREDEHYDSYN-CPLX	threonine deaminase	(("THREDEHYDSYN-MONOMER", 4))
AROH-CPLX	2-dehydro-3-deoxyphosphoheptonate aldolase	(("AROH-MONOMER", 2))
CPLX0-341	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase	(("EG10004-MONOMER", 12))
E1P-CPLX	pyruvate dehydrogenase	(("E1P-MONOMER", 2))
CPLX0-3931	Rep helicase, a single-stranded DNA dependent ATPase	(("EG10837-MONOMER", 2))
GLYOHMETRANS-CPLX	serine hydroxymethyltransferase	(("GLYOHMETRANS-MONOMER", 2))
CPLX0-7952	ferric coprogen outer membrane transport complex	(("CPLX0-1923", 1) ("EG11012-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG10272-MONOMER", 1) ("EG10306-MONOMER", 1))
RIBULOKIN-CPLX	L-ribulokinase	(("RIBULOKIN-MONOMER", 2))
FLAGELLAR-MOTOR-COMPLEX	Flagellar Motor Complex	(("EG11346-MONOMER", 1) ("FLIF-FLAGELLAR-MS-RING", 1) ("FLGI-FLAGELLAR-P-RING", 1) ("FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN", 1) ("FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN", 1) ("FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN", 1) ("FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN", 1) ("MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN", 1) ("MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN", 1) ("FLGH-FLAGELLAR-L-RING", 1) ("CPLX0-7450", 1) ("FLIG-FLAGELLAR-SWITCH-PROTEIN", 26) ("FLIM-FLAGELLAR-C-RING-SWITCH", 34) ("FLIN-FLAGELLAR-C-RING-SWITCH", 1))
GLUTRACE-CPLX	glutamate racemase	(("GLUTRACE-MONOMER", 2))
CPLX0-7642	osmolyte:H<sup>+</sup> symporter ProP	(("PROP-MONOMER", 2))
CPLX0-7927	NADPH-dependent curcumin/dihydrocurcumin reductase	(("G6760-MONOMER", 2))
FORMYLTHFDEFORMYL-CPLX	formyltetrahydrofolate deformylase	(("FORMYLTHFDEFORMYL-MONOMER", 6))
CPLX0-7799	protein involved in threonylcarbamoyladenosine biosynthesis	(("G6991-MONOMER", 2))
B1-CPLX	ribonucleoside diphosphate reductase 1, &alpha; subunit dimer	(("NRDA-MONOMER", 2))
ADCLY-CPLX	aminodeoxychorismate lyase	(("ADCLY-MONOMER", 2))
PUTA-CPLX	fused PutA DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase	(("PUTA-MONOMER", 2))
CPLX0-3108	ClpAXP	(("CPLX0-3102", 1) ("EG10159-MONOMER", 6) ("CPLX0-881", 1) ("EG10156-MONOMER", 6) ("CPLX0-3101", 1) ("EG10158-MONOMER", 14))
CPLX0-2424	topoisomerase IV	(("CPLX0-2423", 1) ("EG10686-MONOMER", 2) ("EG10687-MONOMER", 2))
PHOSPHO-OMPR	OmpR-Phosphorylated DNA-binding transcriptional dual regulator	(("PHOSPHO-OMPR-MONOMER", 2))
S-ADENMETSYN-CPLX	methionine adenosyltransferase	(("S-ADENMETSYN-MONOMER", 4))
CPLX0-237	serine acetyltransferase	(("SERINE-O-ACETTRAN-MONOMER", 6))
CPLX0-2425	DNA gyrase	(("EG10424-MONOMER", 2) ("EG10423-MONOMER", 2))
CPLX0-1441	ecotin homodimer; serine protease inhibitor	(("EG10255-MONOMER", 2))
CPLX0-7656	CcmCDE protoheme IX reservoir complex	(("CCMC-MONOMER", 1) ("CCME-MONOMER", 1) ("EG12169-MONOMER", 1))
CPLX0-1666	FadJ component of anaerobic fatty acid oxidation complex	(("G7212-MONOMER", 2))
ABC-29-CPLX	peptide ABC transporter SapABCDF	(("SAPA-MONOMER", 1) ("SAPC-MONOMER", 1) ("SAPB-MONOMER", 1) ("SAPD-MONOMER", 1) ("SAPF-MONOMER", 1))
ADHE-CPLX	pyruvate formate-lyase deactivase [multifunctional]	(("ADHE-MONOMER", 40))
F-1-CPLX	ATP synthase F<sub>1</sub> complex	(("ATPD-CPLX", 1) ("ATPD-MONOMER", 3) ("ATPG-MONOMER", 1) ("ATPA-CPLX", 1) ("ATPA-MONOMER", 3) ("ATPH-MONOMER", 1) ("ATPC-MONOMER", 1))
CPLX0-7826	dITP/XTP pyrophosphatase	(("G7530-MONOMER", 2))
OROPRIBTRANS-CPLX	orotate phosphoribosyltransferase	(("OROPRIBTRANS-MONOMER", 2))
ABC-28-CPLX	ribose ABC transporter	(("RBSB-MONOMER", 1) ("RBSC-MONOMER", 2) ("RBSA-MONOMER", 2))
CPLX0-2802	chaperone with DnaK; curved DNA-binding protein	(("EG12193-MONOMER", 2))
CPLX0-3161	<i>N</i>-succinyl-L-diaminopimelate desuccinylase	(("MONOMER0-1981", 4))
PIIPROTEIN-CPLX	nitrogen regulatory protein P-II 1	(("PROTEIN-PII", 3))
SECD-SECF-YAJC-YIDC-CPLX	SecD-SecF-YajC-YidC Secretion Complex	(("SECD", 1) ("SECF", 1) ("EG11096-MONOMER", 1) ("YIDC", 1))
CPLX0-7687	NAD<sup>+</sup>-dependent succinate semialdehyde dehydrogenase	(("G6811-MONOMER", 2))
RIB5PISOMA-CPLX	ribose-5-phosphate isomerase A	(("RIB5PISOMA-MONOMER", 2))
CPLX0-1242	MazE-MazF antitoxin/toxin complex and DNA-binding transcriptional repressor	(("CPLX0-841", 1) ("EG10571-MONOMER", 2) ("CPLX0-1241", 2) ("EG11249-MONOMER", 4))
PDXH-CPLX	pyridoxine 5'-phosphate oxidase / pyridoxamine 5'-phosphate oxidase	(("PDXH-MONOMER", 2))
CPLX0-961	PspC transcriptional regulator; toxin of a PspC-PspB toxin-antitoxin pair	(("EG10778-MONOMER", 2))
THREDEHYDCAT-CPLX	catabolic threonine dehydratase	(("THREDEHYDCAT-MONOMER", 4))
CPLX0-3901	&alpha;-D-xyloside xylohydrolase	(("EG11685-MONOMER", 6))
MALTACETYLTRAN-CPLX	maltose acetyltransferase	(("MALTACETYLTRAN-MONOMER", 2))
CPLX0-3601	RNase BN	(("G7175-MONOMER", 2))
GLUTKIN-CPLX	&gamma;-glutamyl kinase	(("GLUTKIN-MONOMER", 4))
ABC-61-CPLX	YbbA/YbbP ABC transporter	(("YBBA-MONOMER", 2) ("YBBP-MONOMER", 2))
UDPNACETYLGLUCOSAMACYLTRANS-CPLX	UDP-N-acetylglucosamine acyltransferase	(("UDPNACETYLGLUCOSAMACYLTRANS-MONOMER", 3))
PYRUVATEDEH-CPLX	pyruvate dehydrogenase	(("E3-CPLX", 6) ("E3-MONOMER", 12) ("E2P-MONOMER", 24) ("E1P-CPLX", 12) ("E1P-MONOMER", 24))
RECFOR-CPLX	RecFOR complex	(("EG10832-MONOMER", 1) ("EG10834-MONOMER", 1) ("EG10828-MONOMER", 1))
TTDA-CPLX	&alpha; subunit complex	(("TTDA-MONOMER", 2))
CPLX0-1944	ferric enterobactin transport system	(("CPLX0-1941", 1) ("EG10272-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG11012-MONOMER", 1) ("CPLX0-1923", 1) ("EG10293-MONOMER", 1) ("ABC-10-CPLX", 1) ("FEPC-MONOMER", 2) ("FEPD-MONOMER", 1) ("FEPG-MONOMER", 1) ("FEPB-MONOMER", 1))
CPLX0-7728	tRNA pseudouridine synthase I	(("EG10454-MONOMER", 2))
CPLX0-7970	YjiE DNA-binding transcriptional dual regulator	(("G7924-MONOMER", 2))
CPLX0-3925	DNA polymerase V	(("EG11057-MONOMER", 2) ("EG11056-MONOMER", 1))
FOLXTET-CPLX	dihydroneopterin triphosphate 2'-epimerase	(("H2NTPEPIM-MONOMER", 8))
CPLX0-7609	complex involved in modification of tRNA	(("CPLX0-7597", 1) ("EG10375-MONOMER", 2) ("CPLX0-7608", 1) ("EG10997-MONOMER", 2))
CPLX0-7844	<i>p</i>-aminobenzoyl-glutamate hydrolase	(("G6670-MONOMER", 2) ("G6669-MONOMER", 2))
CPLX0-241	tagatose-1,6-bisphosphate aldolase 2	(("G7128-MONOMER", 1) ("TAGAALDOL2-MONOMER", 1))
ABC-2-CPLX	arabinose ABC transporter	(("ARAF-MONOMER", 1) ("ARAH-MONOMER", 2) ("ARAG-MONOMER", 2))
3-ISOPROPYLMALDEHYDROG-CPLX	3-isopropylmalate dehydrogenase	(("3-ISOPROPYLMALDEHYDROG-MONOMER", 2))
CPLX0-7660	D-sedoheptulose 7-phosphate isomerase	(("G6106-MONOMER", 4))
CPLX0-3541	RhlB, ATP-dependent RNA helicase of the RNA degradosome	(("EG10844-MONOMER", 2))
CPLX0-3959	Xer site-specific recombination system	(("EG11071-MONOMER", 1) ("EG11069-MONOMER", 1))
GMP-REDUCT-CPLX	GMP reductase	(("GMP-REDUCT-MONOMER", 4))
CPLX0-7734	ArsR DNA-binding transcriptional repressor	(("EG12235-MONOMER", 2))
CPLX0-7415	lipid A disaccharide synthase	(("LIPIDADISACCHARIDESYNTH-MONOMER", 2))
CPLX0-7695	glutaminase	(("G6810-MONOMER", 2))
CPLX-8331	MoaC dimer	(("EG11666-MONOMER", 2))
DALADEHYDROG-CPLX	D-amino acid dehydrogenase	(("DALADEHYDROGA-MONOMER", 2))
CPLX-167	N-acetylglucosamine PTS permease	(("NAGE-MONOMER", 2))
CPLX0-7884	RcsB-phosphorylated DNA-binding transcriptional activator	(("PHOSPHO-RCSB", 2))
CPLX0-7917	disulfide reductase / organic hydroperoxide reductase	(("G7553-MONOMER", 2))
CPLX0-7525	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	(("MEND-MONOMER", 2))
CPLX0-7613	predicted carboxysome structural protein	(("G7286-MONOMER", 6))
CPLX0-7795	KdpE-Phosphorylated DNA-binding transcriptional activator	(("PHOSPHO-KDPE", 2))
CPLX0-2423	dimer of topoisomerase IV subunit A	(("EG10686-MONOMER", 2))
CPLX0-7740	CytR DNA-binding transcriptional repressor	(("PD04028", 2))
EIISGC	PTS permease - unknown specificity	(("SGCA-MONOMER", 1) ("SGCC-MONOMER", 1) ("MONOMER0-2121", 1))
CPLX0-7885	&gamma;-glutamyltranspeptidase	(("MONOMER0-4195", 1) ("MONOMER0-4196", 1))
CPLX0-7914	multifunctional nuclease	(("G7425-MONOMER", 2))
NAG6PDEACET-CPLX	N-acetylglucosamine-6-phosphate deacetylase	(("NAG6PDEACET-MONOMER", 4))
CPLX0-2081	dihydroxyacetone kinase	(("MONOMER0-1261", 1) ("G6627-MONOMER", 2) ("EG12399-MONOMER", 2))
CPLX0-7696	cell division protein involved in chromosome partitioning	(("EG10618-MONOMER", 2))
CPLX0-7617	essential respiratory protein A	(("EG12332-MONOMER", 2))
PII2-CPLX	nitrogen regulatory protein GlnK	(("PROTEIN-PII2", 3))
GLYCPDIESTER-PERI-CPLX	glycerophosphoryl diester phosphodiesterase, periplasmic	(("GLYCPDIESTER-PERI-MONOMER", 2))
THIOESTERII-CPLX	thioesterase II	(("THIOESTERII-MONOMER", 4))
CPLX0-1401	2,3-diaminopropionate ammonia-lyase	(("G7490-MONOMER", 2))
CPLX0-7692	nucleoside triphosphate pyrophosphohydrolase	(("EG10572-MONOMER", 2))
LDC2-CPLX	lysine decarboxylase 2	(("LDC2-MONOMER", 10))
UMPKI-CPLX	UMP kinase	(("UMPKI-MONOMER", 6))
CPLX0-7536	FKBP-type peptidyl prolyl cis-trans isomerase	(("EG11663-MONOMER", 2))
CPLX0-7836	predicted structural protein, ethanolamine utilization microcompartment	(("G7292-MONOMER", 6))
CPLX0-7627	mechanosensitive channel MscL	(("EG11180-MONOMER", 5))
CPLX0-8	longitudinal peptidoglycan synthesis/chromosome segregation-directing complex	(("EG10610-MONOMER", 1) ("EG10609-MONOMER", 1) ("EG10608-MONOMER", 1))
CPLX0-821	fructoselysine 6-phosphate deglycase	(("G7723-MONOMER", 12))
CPLX0-3081	proline aminopeptidase P II	(("EG10697-MONOMER", 4))
ABC-34-CPLX	glycerol-3-phosphate / glycerol-2-phosphate ABC transporter	(("UGPB-MONOMER", 1) ("UGPE-MONOMER", 1) ("UGPA-MONOMER", 1) ("UGPC-MONOMER", 2))
CPLX0-7633	L-fuculose-phosphate aldolase	(("FUCPALDOL-MONOMER", 4))
AERGLYC3PDEHYDROG-CPLX	glycerol-3-phosphate dehydrogenase, aerobic	(("AERGLYC3PDEHYDROG-MONOMER", 2))
ABC-3-CPLX	lysine / arginine / ornithine ABC transporter	(("ARGT-MONOMER", 1) ("HISM-MONOMER", 1) ("HISP-MONOMER", 2) ("HISQ-MONOMER", 1))
CPLX-171	hydroxypyruvate isomerase	(("G6277-MONOMER", 2))
CPLX0-7625	dCMP phosphohydrolase	(("G7185-MONOMER", 2))
CPLX0-7951	2-hydroxypentadienoate hydratase	(("MHPDHYDROL-MONOMER", 5))
CPLX0-661	predicted hydrolase	(("EG11241-MONOMER", 8))
TRANS-CPLX-202	MdtABC-TolC multidrug efflux transport system	(("MDTA", 1) ("B2075-MONOMER", 2) ("B2076-MONOMER", 1) ("CPLX0-7964", 1) ("EG11009-MONOMER", 3))
NIRB-CPLX	dimer of large subunit of nitrite reductase	(("NIRB-MONOMER", 2))
ABC-25-CPLX	putrescine ABC transporter	(("POTF-MONOMER", 1) ("POTI-MONOMER", 1) ("POTH-MONOMER", 1) ("POTG-MONOMER", 2))
CPLX0-7787	DinJ-YafQ antitoxin/toxin complex and DNA-binding transcriptional repressor	(("G6110-MONOMER", 1) ("G6109-MONOMER", 1))
CPLX0-3501	7-cyano-7-deazaguanine reductase	(("G7452-MONOMER", 2))
CARBODEHYDRAT-CPLX	carbonic anhydrase 1	(("CARBODEHYDRAT-MONOMER", 2))
CPLX0-7932	cytosine deaminase	(("CYTDEAM-MONOMER", 6))
CYT-D-UBIOX-CPLX	cytochrome <i>bd</i>-I terminal oxidase	(("CYDB-MONOMER", 1) ("CYDA-MONOMER", 1))
FORMATEDEHYDROGN-CPLX	formate dehydrogenase-N	(("ALPHA-SUBUNIT-CPLX", 3) ("FDNI-MONOMER", 3) ("FDNH-MONOMER", 3) ("FDNG-MONOMER", 3))
KDO-8PSYNTH-CPLX	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	(("KDO-8PSYNTH-MONOMER", 4))
NITRATREDUCTA-CPLX	nitrate reductase A	(("NARI-MONOMER", 1) ("NARH-MONOMER", 1) ("NARG-MONOMER", 1))
ABC-9-CPLX	ferric dicitrate ABC transporter	(("FECB-MONOMER", 1) ("FECD-MONOMER", 1) ("FECC-MONOMER", 1) ("FECE-MONOMER", 2))
CPLX0-2001	ferric dicitrate transport system	(("CPLX0-1943", 1) ("EG10286-MONOMER", 1) ("EG10272-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG11012-MONOMER", 1) ("CPLX0-1923", 1) ("ABC-9-CPLX", 1) ("FECE-MONOMER", 2) ("FECC-MONOMER", 1) ("FECD-MONOMER", 1) ("FECB-MONOMER", 1))
CPLX0-1942	ferrichrome outer membrane transport complex	(("EG10302-MONOMER", 1) ("CPLX0-1923", 1) ("EG11012-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG10272-MONOMER", 1))
