pathwayId	pathwayName	genes	reactions
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	["EG11369", "G6365", "EG11473", "EG11324", "EG11143", "EG11333", "EG11396", "EG11370", "EG10017", "EG10508", "G7508"]	["IPPISOM-RXN", "FPPSYN-RXN", "GPPSYN-RXN", "RXN-8992", "4OHBENZOATE-OCTAPRENYLTRANSFER-RXN", "3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN", "2-OCTAPRENYLPHENOL-HYDROX-RXN", "2-OCTAPRENYL-6-OHPHENOL-METHY-RXN", "2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN", "2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN", "DHHB-METHYLTRANSFER-RXN", "OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN", "CHORPYRLY-RXN"]
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation	["G81", "EG11055"]	["RXN-14693", "BETA-GLUCURONID-RXN", "GLUCUROISOM-RXN"]
KETOGLUCONMET-PWY	ketogluconate metabolism	["G7892", "EG12152", "EG12629", "G7893", "EG11648", "G7565", "EG12272"]	["RXN0-7021", "RXN0-7020", "1.1.1.274-RXN", "1.1.1.264-RXN", "GLUCONOKIN-RXN", "GLUCONATE-5-DEHYDROGENASE-RXN", "1.1.1.215-RXN", "YIAE1-RXN"]
PWY0-1483	"PhoRB Two-Component Signal Transduction System", "phosphate-dependent"	["EG10728", "EG10733"]	["PHOBR-RXN", "PHOR-RXN"]
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)	["EG11005"]	["RXN-15578", "RXN-15127", "RXN-15124"]
CYSTSYN-PWY	L-cysteine biosynthesis I	["EG10187", "EG10192", "EG10193"]	["ACSERLY-RXN", "SERINE-O-ACETTRAN-RXN"]
PWY-6611	adenine and adenosine salvage V	["EG10222", "EG12159", "EG10030", "EG11102"]	["INOSINEKIN-RXN", "ADENODEAMIN-RXN", "ADENPHOSPHOR-RXN"]
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	["EG11787", "EG11788"]	["1.1.1.271-RXN", "GDPMANDEHYDRA-RXN"]
PWY0-1352	nitrate reduction VIII (dissimilatory)	["EG12082", "EG12088", "EG12090", "EG12091", "EG12092", "EG11773", "EG12093", "EG12089", "EG12087", "EG11774", "EG12086", "EG12084", "EG12083", "EG10638", "EG10639", "EG10640", "EG10647", "EG10648", "EG10644"]	["RXN0-3501", "RXN0-5388"]
PWY-6618	guanine and guanosine salvage III	["EG11102"]	["GUANOSINEKIN-RXN"]
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	["EG12192", "EG10745", "EG10744"]	["RXN-5822", "TRANS-RXN0-277", "NAD-KIN-RXN"]
PWY-6123	inosine-5'-phosphate biosynthesis I	["EG10791", "EG11314", "EG10795", "EG10793", "EG10796"]	["RXN0-742", "RXN0-743", "IMPCYCLOHYDROLASE-RXN", "AICARTRANSFORM-RXN", "AICARSYN-RXN", "SAICARSYN-RXN"]
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	["EG10025", "EG10543", "EG10024"]	["RXN0-1134", "RXN0-1132", "RXN0-1133"]
PWY-6012	acyl carrier protein metabolism	["EG11095", "EG10247", "EG12221", "EG50003", "EG10260", "EG10264"]	["HOLO-ACP-SYNTH-RXN", "3.1.4.14-RXN"]
PWY-5194	siroheme biosynthesis	["EG10188"]	["RXN-8675", "UROPORIIIMETHYLTRANSA-RXN", "SIROHEME-FERROCHELAT-RXN", "DIMETHUROPORDEHYDROG-RXN"]
PWY-6609	adenine and adenosine salvage III	["G85", "EG10222", "EG12159", "EG10030", "EG20098", "EG10414"]	["HYPOXANPRIBOSYLTRAN-RXN", "ADENODEAMIN-RXN", "ADENPHOSPHOR-RXN", "INOPHOSPHOR-RXN"]
MANNCAT-PWY	D-mannose degradation	["EG10566"]	["MANNPISOM-RXN"]
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	["EG10946", "EG10944", "EG10945", "EG10408"]	["GLYOHMETRANS-RXN", "RXN0-5114", "PGLYCDEHYDROG-RXN", "PSERTRANSAM-RXN"]
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	["G7259", "G6879", "EG11487", "EG10368", "G6237", "EG10693", "G0-9461", "EG10946", "EG10691"]	["RXN-13179", "PSERTRANSAMPYR-RXN", "ERYTHRON4PDEHYDROG-RXN", "PDXJ-RXN", "DXS-RXN", "ERYTH4PDEHYDROG-RXN", "PYRIDOXKIN-RXN", "PMPOXI-RXN", "PNPOXI-RXN", "PYRAMKIN-RXN", "PNKIN-RXN"]
PWY0-1509	"NtrBC Two-Component Signal Transduction System", "nitrogen-dependent"	["EG10387", "EG10385"]	["RXN0-6532", "RXN0-6533"]
PWY-5837	"2-carboxy-1,4-naphthoquinol biosynthesis"	["EG12437", "EG11532", "EG12362", "EG10579", "EG12438", "EG11368", "G6912"]	["RXN-9311", "NAPHTHOATE-SYN-RXN", "RXN-9310", "2.5.1.64-RXN", "ISOCHORSYN-RXN", "O-SUCCINYLBENZOATE-COA-SYN-RXN", "O-SUCCINYLBENZOATE-COA-LIG-RXN"]
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	["EG12302", "EG11265", "EG10650", "EG10032"]	["DCDPKIN-RXN", "DTDPKIN-RXN", "RXN-7913", "DTMPKI-RXN"]
PWY-7181	pyrimidine deoxyribonucleosides degradation	["EG10137", "EG10219", "EG12159"]	["THYM-PHOSPH-RXN", "URA-PHOSPH-RXN", "CYTIDEAM-RXN"]
HISTSYN-PWY	L-histidine biosynthesis	["EG10447", "EG10446", "EG10445", "EG10450", "EG10448", "EG10444", "EG10451", "EG10449"]	["ATPPHOSPHORIBOSYLTRANS-RXN", "HISTCYCLOHYD-RXN", "HISTPRATPHYD-RXN", "PRIBFAICARPISOM-RXN", "GLUTAMIDOTRANS-RXN", "IMIDPHOSDEHYD-RXN", "HISTAMINOTRANS-RXN", "HISTIDPHOS-RXN", "HISTOLDEHYD-RXN", "HISTALDEHYD-RXN"]
PWY-5659	GDP-mannose biosynthesis	["EG10702", "EG10566", "EG10162", "EG10161"]	["2.7.7.13-RXN", "PHOSMANMUT-RXN", "MANNPISOM-RXN", "PGLUCISOM-RXN"]
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	["EG10581", "EG10584", "EG10587", "EG10582", "EG10583", "EG10564"]	["RXN-15127", "RXN-15124", "RXN-15131", "O-SUCCHOMOSERLYASE-RXN", "HOMOCYSMETB12-RXN", "HOMOCYSMET-RXN", "HOMSUCTRAN-RXN"]
PWY0-1573	nitrate reduction VIIIb (dissimilatory)	["EG10649", "EG10638", "EG10639", "EG10640"]	["RXN0-7124", "RXN0-5330"]
PWY0-1535	D-serine degradation	["EG10249"]	["RXN-15127", "RXN-15124", "RXN-15581"]
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV	["EG11090"]	["METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN"]
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	["EG11369", "G6365", "EG11324", "EG11143", "EG11333", "EG11396", "EG11370", "EG10017", "EG10508", "G7508", "EG10074", "EG10079", "EG10080", "EG10078", "EG10075", "EG10073", "EG10082", "EG10081", "EG10077", "EG10076", "EG11234", "EG11026", "EG11028", "EG11027", "EG11024", "EG11025", "EG10497", "EG11040", "EG10096", "EG10707", "EG11039", "EG10259", "EG12221", "EG10247", "EG10262", "EG10263", "EG12437", "EG11532", "EG10261", "EG12362", "EG10579", "EG12438", "EG11368", "G6912", "EG11880", "EG11473", "EG50011", "EG10327", "EG10326", "G6862", "EG11374", "EG11673", "EG11138", "EG11375", "EG10683", "EG10682", "EG11493", "EG10264", "EG10260"]	["ADCLY-RXN", "PABASYN-RXN", "GTP-CYCLOHYDRO-I-RXN", "H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN", "DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN", "H2NEOPTERINALDOL-RXN", "H2PTERIDINEPYROPHOSPHOKIN-RXN", "DIHYDROFOLATEREDUCT-RXN", "DIHYDROFOLATESYNTH-RXN", "H2PTEROATESYNTH-RXN", "ADOMET-DMK-METHYLTRANSFER-RXN", "DMK-RXN", "RXN-9311", "NAPHTHOATE-SYN-RXN", "RXN-9310", "2.5.1.64-RXN", "O-SUCCINYLBENZOATE-COA-SYN-RXN", "O-SUCCINYLBENZOATE-COA-LIG-RXN", "ENTG-RXN", "RXN-15891", "RXN-15890", "RXN-15889", "ENTF-RXN", "RXN0-6442", "DHBAMPLIG-RXN", "ENTDB-RXN", "DHBDEHYD-RXN", "ISOCHORMAT-RXN", "ISOCHORSYN-RXN", "PREPHENATEDEHYDROG-RXN", "TYROSINE-AMINOTRANSFERASE-RXN", "CHORISMATEMUT-RXN", "PREPHENATEDEHYDRAT-RXN", "PHEAMINOTRANS-RXN", "RXN0-2382", "RXN0-2381", "ANTHRANSYN-RXN", "PRTRANS-RXN", "PRAISOM-RXN", "IGPSYN-RXN", "RXN-7968", "3-DEHYDROQUINATE-DEHYDRATASE-RXN", "SHIKIMATE-5-DEHYDROGENASE-RXN", "SHIKIMATE-KINASE-RXN", "2.5.1.19-RXN", "CHORISMATE-SYNTHASE-RXN", "DAHPSYN-RXN", "3-DEHYDROQUINATE-SYNTHASE-RXN", "IPPISOM-RXN", "FPPSYN-RXN", "GPPSYN-RXN", "RXN-8992", "4OHBENZOATE-OCTAPRENYLTRANSFER-RXN", "3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN", "2-OCTAPRENYLPHENOL-HYDROX-RXN", "2-OCTAPRENYL-6-OHPHENOL-METHY-RXN", "2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN", "2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN", "DHHB-METHYLTRANSFER-RXN", "OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN", "CHORPYRLY-RXN"]
PWY-5669	phosphatidylethanolamine biosynthesis I	["EG10781", "EG10775"]	["PHOSPHASERDECARB-RXN", "PHOSPHASERSYN-RXN"]
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	["G6811", "EG10036", "EG10361", "G6646", "EG11329"]	["SUCCSEMIALDDEHYDROG-RXN", "SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "GABATRANSAM-RXN"]
PRPP-PWY	"superpathway of histidine", "purine", "and pyrimidine biosynthesis"	["EG10447", "EG10446", "EG10445", "EG10450", "EG10448", "EG10444", "EG10451", "EG10449", "EG10794", "EG10792", "EG10797", "EG10798", "EG11809", "EG10791", "EG10795", "EG10793", "EG10796", "EG10421", "EG10420", "EG10965", "EG10790", "EG11314", "EG10660", "EG10661", "EG20257", "EG12381", "EG11417", "EG10135", "EG10134", "EG10805", "EG10811", "EG10806", "EG10808", "EG10809", "EG10807", "EG11539", "EG10650", "EG10032", "EG10810", "EG10774", "EG10220", "EG10723", "G7401", "EG11031", "EG11887"]	["RXN0-1401", "PPENTOMUT-RXN", "RXN0-1402", "PRPPSYN-RXN", "CTPSYN-RXN", "UDPKIN-RXN", "RXN-12002", "DIHYDROOROTATE-DEHYDROGENASE-RXN", "OROTPDECARB-RXN", "OROPRIBTRANS-RXN", "DIHYDROOROT-RXN", "ASPCARBTRANS-RXN", "CARBPSYN-RXN", "RXN0-745", "DADPKIN-RXN", "RXN0-747", "ADPREDUCT-RXN", "ADENYL-KIN-RXN", "AMPSYN-RXN", "ADENYLOSUCCINATE-SYNTHASE-RXN", "DGDPKIN-RXN", "RXN0-748", "RXN0-746", "GDPREDUCT-RXN", "GDPKIN-RXN", "GUANYL-KIN-RXN", "GMP-SYN-GLUT-RXN", "IMP-DEHYDROG-RXN", "RXN0-742", "RXN0-743", "IMPCYCLOHYDROLASE-RXN", "AICARTRANSFORM-RXN", "AICARSYN-RXN", "SAICARSYN-RXN", "GARTRANSFORMYL2-RXN", "AIRS-RXN", "FGAMSYN-RXN", "GLYRIBONUCSYN-RXN", "PRPPAMIDOTRANS-RXN", "ATPPHOSPHORIBOSYLTRANS-RXN", "HISTCYCLOHYD-RXN", "HISTPRATPHYD-RXN", "PRIBFAICARPISOM-RXN", "GLUTAMIDOTRANS-RXN", "IMIDPHOSDEHYD-RXN", "HISTAMINOTRANS-RXN", "HISTIDPHOS-RXN", "HISTOLDEHYD-RXN", "HISTALDEHYD-RXN"]
PWY-6952	glycerophosphodiester degradation	["EG10399", "EG11050", "EG10394", "EG10391", "EG10392", "EG10393"]	["RXN-15740", "RXN0-5260", "GLYCPDIESTER-RXN"]
PWY0-1485	CpxAR Two-Component Signal Transduction System	["EG10020", "EG10163"]	["CPXA-RXN", "CPXR-RXN"]
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	["EG10497", "EG10001", "EG11408", "EG10107"]	["VALINE-PYRUVATE-AMINOTRANSFER-RXN", "ALARACECAT-RXN", "BRANCHED-CHAINAMINOTRANSFERVAL-RXN"]
PROSYN-PWY	L-proline biosynthesis I	["EG10769", "EG10767", "EG10768"]	["GLUTKIN-RXN", "GLUTSEMIALDEHYDROG-RXN", "PYRROLINECARBREDUCT-RXN", "SPONTPRO-RXN"]
PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer	["EG11799", "EG11800", "G7554", "EG11801", "EG10470", "EG10469", "EG10468", "EG11815", "EG11814"]	["RXN0-5264", "RXN0-5256"]
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	["EG10417", "G7401", "EG12688", "EG12294"]	["RXN0-7271", "PRODISULFREDUCT-A-RXN"]
PWY0-1477	ethanolamine utilization	["EG50006", "EG50007", "M014", "EG20173", "G7288", "EG10027", "EG11809", "G6775", "EG10031"]	["ALCOHOL-DEHYDROG-RXN", "ACETATEKIN-RXN", "PHOSACETYLTRANS-RXN", "ACETALD-DEHYDROG-RXN", "ETHAMLY-RXN"]
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	["EG10122", "EG10274", "EG11528", "EG11284", "EG11318", "EG10119", "EG10121", "EG10120", "EG10118", "EG10117", "EG11328", "EG50003"]	["DAPASYN-RXN", "2.8.1.6-RXN", "DETHIOBIOTIN-SYN-RXN", "RXN-11484", "RXN-11474", "RXN-11475", "RXN-11476", "RXN-11477", "RXN-11478", "RXN-11479", "RXN-11480", "RXN-11481", "RXN-11482", "RXN-11483"]
PWY-4121	glutathionylspermidine biosynthesis	["EG12882"]	["GSPSYN-RXN"]
ARO-PWY	chorismate biosynthesis I	["EG10074", "EG10079", "EG10080", "EG10078", "EG10075", "EG10073", "EG10082", "EG10081", "EG10077", "EG10076", "EG11234"]	["RXN-7968", "3-DEHYDROQUINATE-DEHYDRATASE-RXN", "SHIKIMATE-5-DEHYDROGENASE-RXN", "SHIKIMATE-KINASE-RXN", "2.5.1.19-RXN", "CHORISMATE-SYNTHASE-RXN", "DAHPSYN-RXN", "3-DEHYDROQUINATE-SYNTHASE-RXN"]
PWY0-1512	CusSR Two-Component Signal Transduction System	["G6319", "G6318"]	["RXN0-6464", "RXN0-6462"]
TRNA-CHARGING-PWY	tRNA charging	["EG10071", "EG10196", "EG10390", "EG10407", "EG10492", "EG10532", "EG11067", "EG10034", "EG10094", "EG10097", "EG11043", "EG11030", "EG11001", "EG10947", "EG10770", "EG10709", "EG10710", "EG10553", "EG10552", "EG10453", "EG10410", "EG10409", "EG10586", "EG30039", "EG30036", "EG30040", "EG30037", "EG30041", "EG30038", "EG30042", "G6392", "EG30055", "G6390", "EG30056", "G6391", "EG30057", "EG30062", "EG31117", "EG30058", "EG30060", "EG30059", "EG30061", "EG30064", "EG30065", "EG30067", "EG30068", "EG30066", "EG30092", "EG30096", "EG30093", "EG30097", "EG30094", "EG30095", "EG30102", "EG30103", "EG30104", "EG30101", "EG30105", "EG30108", "EG30106", "EG30107", "EG30024", "EG30025", "EG30023", "EG30022", "G7069", "EG30020", "EG30021", "EG30010", "EG30011", "EG30008", "EG30012", "EG30009", "EG30110", "EG30114", "EG30111", "G6389", "EG30112", "EG30109", "EG30113", "EG30054", "EG30051", "EG30048", "EG30052", "EG30049", "EG30053", "EG30050", "EG30047", "EG30045", "G7387", "EG30046", "EG30043", "EG30044", "EG30034", "EG30035", "EG30032", "EG30033", "EG30029", "EG30030", "EG30031", "EG30028", "G7991", "EG30019", "EG30016", "EG30013", "EG30017", "EG30014", "EG30018", "EG30015"]	["RXN-16165", "GLYCINE--TRNA-LIGASE-RXN", "HISTIDINE--TRNA-LIGASE-RXN", "LYSINE--TRNA-LIGASE-RXN", "METHIONINE--TRNA-LIGASE-RXN", "PHENYLALANINE--TRNA-LIGASE-RXN", "PROLINE--TRNA-LIGASE-RXN", "SERINE--TRNA-LIGASE-RXN", "THREONINE--TRNA-LIGASE-RXN", "TRYPTOPHAN--TRNA-LIGASE-RXN", "TYROSINE--TRNA-LIGASE-RXN", "ASPARTATE--TRNA-LIGASE-RXN", "ASPARAGINE--TRNA-LIGASE-RXN", "ALANINE--TRNA-LIGASE-RXN", "VALINE--TRNA-LIGASE-RXN", "LEUCINE--TRNA-LIGASE-RXN", "ISOLEUCINE--TRNA-LIGASE-RXN", "GLURS-RXN", "GLUTAMINE--TRNA-LIGASE-RXN", "CYSTEINE--TRNA-LIGASE-RXN", "ARGININE--TRNA-LIGASE-RXN"]
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	["EG10999", "EG11000"]	["THRESYN-RXN", "HOMOSERKIN-RXN"]
SERSYN-PWY	L-serine biosynthesis	["EG10946", "EG10944", "EG10945"]	["RXN0-5114", "PGLYCDEHYDROG-RXN", "PSERTRANSAM-RXN"]
PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis	["EG11455", "EG11456", "EG11978", "EG11454", "EG12412", "EG11453"]	["DTDPGLUCDEHYDRAT-RXN", "DTDPGLUCOSEPP-RXN", "RFFTRANS-RXN", "TDPFUCACTRANS-RXN"]
PWY3O-4106	NAD salvage pathway IV	["EG11335"]	["RIBOSYLNICOTINAMIDE-KINASE-RXN", "2.7.7.1-RXN"]
PWY0-181	salvage pathways of pyrimidine deoxyribonucleotides	["EG10137", "EG10219", "EG12159", "EG10994"]	["THYKI-RXN", "THYM-PHOSPH-RXN", "URA-PHOSPH-RXN", "DURIDKI-RXN", "CYTIDEAM-RXN"]
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	["EG10220", "EG10221", "EG10031", "M014"]	["ACETALD-DEHYDROG-RXN", "DEOXYRIBOSE-P-ALD-RXN", "D-PPENTOMUT-RXN"]
GALACTARDEG-PWY	D-galactarate degradation I	["EG10016", "EG11176", "EG12522", "EG11175", "G6283"]	["GKI-RXN", "GALACTARDEHYDRA-RXN", "TSA-REDUCT-RXN", "KDGALDOL-RXN"]
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	["EG12734", "EG11065", "EG20248", "EG11066", "EG12253", "EG10256", "G81", "EG11055"]	["RXN-14693", "BETA-GLUCURONID-RXN", "GLUCUROISOM-RXN", "MANNONDEHYDRAT-RXN", "MANNONOXIDOREDUCT-RXN", "KDPGALDOL-RXN", "GALACTUROISOM-RXN", "ALTRO-OXIDOREDUCT-RXN", "DEOXYGLUCONOKIN-RXN", "ALTRODEHYDRAT-RXN"]
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	["EG11317", "EG11647", "EG10217", "EG12606", "EG10274", "EG10277", "EG50003"]	["MALONYL-ACPDECARBOX-RXN", "RXN0-5055", "2.3.1.180-RXN", "MALONYL-COA-ACP-TRANSACYL-RXN", "ACP-S-ACETYLTRANSFER-RXN", "3-OXOACYL-ACP-SYNTH-BASE-RXN"]
GALACTUROCAT-PWY	D-galacturonate degradation I	["EG12734", "EG12253", "EG11065", "G81", "EG10256"]	["KDPGALDOL-RXN", "GALACTUROISOM-RXN", "ALTRO-OXIDOREDUCT-RXN", "DEOXYGLUCONOKIN-RXN", "ALTRODEHYDRAT-RXN"]
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	["EG10222", "EG10030", "EG10220", "EG10221", "EG10031", "M014"]	["ACETALD-DEHYDROG-RXN", "DEOXYRIBOSE-P-ALD-RXN", "D-PPENTOMUT-RXN", "ADDALT-RXN", "DEOXYADENPHOSPHOR-RXN", "DEOXYGUANPHOSPHOR-RXN", "DEOXYINOPHOSPHOR-RXN"]
PWY0-1487	CreCB Two-Component Signal Transduction System	["EG11218", "EG10730"]	["CREC-RXN", "CREB-RXN"]
PWY0-901	L-selenocysteine biosynthesis I (bacteria)	["EG10943", "EG10941", "EG10947", "EG30092"]	["RXN0-2161", "2.9.1.1-RXN", "2.7.9.3-RXN"]
ALADEG-PWY	L-alanine degradation I	["EG10001", "EG11408", "EG11407"]	["DALADEHYDROG-RXN", "ALARACECAT-RXN"]
PWY0-862	(5Z)-dodecenoate biosynthesis I	["EG11528", "EG11318", "EG10274", "EG11284", "EG10273", "EG50003"]	["RXN-9655", "5.3.3.14-RXN", "RXN0-2141", "RXN0-2142", "RXN0-2144", "RXN0-2145"]
PWY0-1565	D-lactate to cytochrome <i>bo</i> oxidase electron transfer	["EG10231", "EG10181", "EG10178", "EG10179", "EG10180"]	["RXN0-5268", "DLACTDEHYDROGFAD-RXN"]
FERMENTATION-PWY	mixed acid fermentation	["EG20173", "G7288", "EG10027", "G7627", "EG10701", "G6775", "EG10031", "EG10803", "EG10804", "G592", "EG10358", "EG10357", "EG10356", "G6903", "EG11162", "EG10576", "EG10756", "EG10285", "EG10478", "EG10475", "EG10480", "EG10479", "EG10476", "EG10477", "EG10330", "EG10331", "EG10332", "EG10333", "EG10402", "EG12316", "EG10489"]	["ISOCITDEH-RXN", "ACONITATEHYDR-RXN", "ACONITATEDEHYDR-RXN", "CITSYN-RXN", "R601-RXN", "FHLMULTI-RXN", "PEPCARBOX-RXN", "MALATE-DEH-RXN", "FUMHYDR-RXN", "DLACTDEHYDROGNAD-RXN", "PEPDEPHOS-RXN", "ALCOHOL-DEHYDROG-RXN", "ACETALD-DEHYDROG-RXN", "PYRUVFORMLY-RXN", "ACETATEKIN-RXN", "PHOSACETYLTRANS-RXN"]
PWY0-522	lipoate salvage I	["EG11796"]	["RXN-8654", "RXN-8655"]
2PHENDEG-PWY	phenylethylamine degradation I	["EG13139", "G7961"]	["TRANS-RXN0-284", "PHENDEHYD-RXN", "AMINEPHEN-RXN"]
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	["EG10430", "EG10429", "EG10428", "EG10432", "EG10427", "EG10407", "EG30034", "EG30035", "EG30032", "EG30033"]	["GLURS-RXN", "GLUTRNAREDUCT-RXN", "GSAAMINOTRANS-RXN", "PORPHOBILSYNTH-RXN", "OHMETHYLBILANESYN-RXN", "UROGENIIISYN-RXN"]
PWY0-1301	melibiose degradation	["EG10577"]	["ALPHAGALACTOSID-RXN"]
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	["EG10616", "EG10971", "EG12768", "G7631", "EG12419", "G7128", "EG12417", "EG12416", "EG12415", "EG12414", "EG10803", "EG10804", "EG10258", "EG12296", "EG10703", "EG10367", "EG11015", "EG10282", "G7129", "EG10700", "EG10699", "EG10759", "EG10283", "EG11517", "EG11239", "EG11245", "EG10727", "EG11699"]	["RXN-15513", "F16BDEPHOS-RXN", "PEPSYNTH-RXN", "6PFRUCTPHOS-RXN", "F16ALDOLASE-RXN", "TRIOSEPISOMERIZATION-RXN", "GAPOXNPHOSPHN-RXN", "PHOSGLYPHOS-RXN", "3PGAREARR-RXN", "2PGADEHYDRAT-RXN", "PEPDEPHOS-RXN", "TRANS-RXN-161", "RXN-16992", "1.1.1.251-RXN", "TAGAALDOL-RXN", "TAGAKIN-RXN", "SORB6PDEHYDROG-RXN", "MANNPDEHYDROG-RXN"]
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	["EG10623", "EG10604", "EG11358", "EG11205", "EG10622", "EG10619", "EG10620", "EG11204", "EG10621", "EG10213", "EG10214"]	["DALADALALIG-RXN", "UDP-NACMURALGLDAPLIG-RXN", "GLUTRACE-RXN", "UDP-NACMURALA-GLU-LIG-RXN", "UDP-NACMUR-ALA-LIG-RXN", "UDP-NACMURALGLDAPAALIG-RXN", "UDPNACETYLMURAMATEDEHYDROG-RXN", "UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN", "PHOSNACMURPENTATRANS-RXN", "NACGLCTRANS-RXN"]
PWY0-1514	"NarQ Two-Component Signal Transduction System", "nitrate dependent"	["EG10643", "EG11527", "EG11460"]	["NARLQ-RXN", "NARPQ-RXN", "NARQ-RXN"]
PWY-5155	&beta;-alanine biosynthesis III	["EG11747"]	["ASPDECARBOX-RXN"]
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	["EG10572", "EG10251", "G7164", "EG11002", "EG12302", "EG10650", "EG10032", "EG10660", "EG10661", "EG11031", "EG11887"]	["RXN-12195", "CDPREDUCT-RXN", "UDPREDUCT-RXN", "DTDPKIN-RXN", "DTMPKI-RXN", "THYMIDYLATESYN-RXN", "DUTP-PYROP-RXN", "DUDPKIN-RXN", "DCDPKIN-RXN"]
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	["G6281", "G6285", "G6284"]	["URUR-RXN", "ALLANTOATE-DEIMINASE-RXN", "ALLANTOINASE-RXN"]
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	["EG11539", "EG10650", "EG10032", "EG10810"]	["CTPSYN-RXN", "UDPKIN-RXN", "RXN-12002"]
TRPSYN-PWY	L-tryptophan biosynthesis	["EG11026", "EG11028", "EG11027", "EG11024", "EG11025"]	["RXN0-2382", "RXN0-2381", "ANTHRANSYN-RXN", "PRTRANS-RXN", "PRAISOM-RXN", "IGPSYN-RXN"]
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	["EG10046", "EG10045", "EG12407"]	["ASPARAGHYD-RXN"]
PWY-5973	<i>cis</i>-vaccenate biosynthesis	["EG11542", "EG12606", "EG11318", "EG11284", "EG11528", "EG50003"]	["RXN-9558", "RXN-9557", "RXN-9556", "2.3.1.179-RXN", "RXN-9555"]
PWY-7545	pyruvate to cytochrome <i>bd</i> oxidase electron transfer	["EG10754", "EG10173", "EG10174", "G0-10441"]	["RXN0-5266", "RXN-11496"]
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)	["EG11543", "EG11485", "EG10431", "EG12189"]	["RXN0-1461", "PROTOHEMEFERROCHELAT-RXN", "PROTOPORGENOXI-RXN", "UROGENDECARBOX-RXN"]
GALACTCAT-PWY	D-galactonate degradation	["EG20051", "EG20049", "GB4478"]	["GALACTONDEHYDRAT-RXN", "DEHYDDEOXPHOSGALACT-ALDOL-RXN", "DEHYDDEOXGALACTKIN-RXN"]
PWY-6614	tetrahydrofolate biosynthesis	["EG50011", "EG10327", "EG10326", "G6862"]	["DIHYDROFOLATEREDUCT-RXN", "DIHYDROFOLATESYNTH-RXN", "H2PTEROATESYNTH-RXN"]
PWY-7187	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	["EG11418", "EG10572", "EG10251", "G7164", "EG11002", "EG12302", "EG10650", "EG10032", "EG11417"]	["RXN0-723", "RXN0-724", "DTDPKIN-RXN", "DTMPKI-RXN", "THYMIDYLATESYN-RXN", "DUTP-PYROP-RXN", "DCTP-DEAM-RXN"]
