"Reactions"	"Object ID"	"EC-Number"	"Enzymatic-Reaction"
GSDEADENYLATION-RXN	"GSDEADENYLATION-RXN"	EC-2.7.7.89	GSDEADENYLATION-ENZRXN
GSADENYLATION-RXN	"GSADENYLATION-RXN"	EC-2.7.7.42	GSADENYLATION-ENZRXN
GCVT-RXN	"GCVT-RXN"	EC-2.1.2.10	GCVT-ENZRXN
RXN-8629	"RXN-8629"	EC-1.8.1.4	ENZRXN0-6327
1.8.1.4-RXN	"1.8.1.4-RXN"	EC-1.8.1.4	ENZRXN0-6494
RXN-17127	"RXN-17127"	EC-6.3.1.20	
RXN0-5098	"RXN0-5098"	EC-6.3.1.20	ENZRXN0-6201
RXN0-20	"RXN0-20"	EC-2.5.1	ENZRXN0-21
RXN-17362	"RXN-17362"	EC-3.4.23.36	ENZRXN0-2710
RXN0-6999	"RXN0-6999"	EC-6.3.2	ENZRXN0-7401
RXN0-7000	"RXN0-7000"	EC-1.14.13	ENZRXN0-7596
3.1.3.16-RXN	"3.1.3.16-RXN"	EC-3.1.3.16	ENZRXN0-1631 // ENZRXN0-1629
RXN-17887	"RXN-17887"		
RXN0-6726	"RXN0-6726"	EC-6.3.2	ENZRXN0-7482
3.5.1.88-RXN	"3.5.1.88-RXN"	EC-3.5.1.88	ENZRXN0-3802
RXN0-7078	"RXN0-7078"	EC-2.3.1	ENZRXN0-7790
PROTEIN-KINASE-RXN	"PROTEIN-KINASE-RXN"	EC-2.7.11.21 // EC-2.7.11.22 // EC-2.7.11.13 // EC-2.7.11.1 // EC-2.7.11.17 // EC-2.7.11.12	ENZRXN0-6515 // ENZRXN0-6362
2.1.1.63-RXN	"2.1.1.63-RXN"	EC-2.1.1.63	ENZRXN0-1604 // ENZRXN0-1603
MCPMETEST-RXN	"MCPMETEST-RXN"	EC-3.1.1.61	MCPMETEST-ENZRXN
CHEBDEAMID-RXN	"CHEBDEAMID-RXN"	EC-3.5.1.44	CHEBDEAMID-ENZRXN
RXN-15509	"RXN-15509"		
RXN-15511	"RXN-15511"		
RXN0-7160	"RXN0-7160"		ENZRXN0-8004
RXN-17636	"RXN-17636"		
RXN-8668	"RXN-8668"	EC-1.8.4.11	ENZRXN0-962
1.8.4.12-RXN	"1.8.4.12-RXN"	EC-1.8.4.12	ENZRXN0-963
PEPTIDYLPROLYL-ISOMERASE-RXN	"PEPTIDYLPROLYL-ISOMERASE-RXN"	EC-5.2.1.8	ENZRXN0-6275 // ENZRXN0-6147 // ENZRXN0-6144 // ENZRXN0-2901 // ENZRXN0-2708 // ENZRXN0-2707 // ENZRXN0-2706 // ENZRXN0-2704 // ENZRXN0-2703
RXN-14461	"RXN-14461"	EC-2.7.1.180	
PROTEIN-TYROSINE-PHOSPHATASE-RXN	"PROTEIN-TYROSINE-PHOSPHATASE-RXN"	EC-3.1.3.48	ENZRXN0-6246 // ENZRXN0-2573 // ENZRXN0-1632 // ENZRXN0-1630
3.4.19.12-RXN	"3.4.19.12-RXN"	EC-3.4.19.12	ENZRXN0-6399
RXN-15510	"RXN-15510"		
RXN-15512	"RXN-15512"		
RXN-17355	"RXN-17355"		
RXN0-1132	"RXN0-1132"	EC-1.8.1.4	ENZRXN0-1306
RXN-19338	"RXN-19338"		
RXN-9787	"RXN-9787"	EC-2.8.1.7	
RXN-9788	"RXN-9788"	EC-2.8.1	ENZRXN0-6600 // ENZRXN-19527
RXN0-7195	"RXN0-7195"	EC-2.8.1	
RXN-18388	"RXN-18388"	EC-2.8.1.4	ENZRXN-25457
RXN-18709	"RXN-18709"	EC-2.8.1	ENZRXN-25688
RXN-18708	"RXN-18708"	EC-2.8.1	ENZRXN-25687
ACETALD-DEHYDROG-RXN	"ACETALD-DEHYDROG-RXN"	EC-1.2.1.10	MHPF-ENZRXN // ACETALD-DEHYDROG-ENZRXN
RXN0-3962	"RXN0-3962"	EC-1.2.1.4	ENZRXN0-5381
ACETATEKIN-RXN	"ACETATEKIN-RXN"	EC-2.7.2.1	GARTSIDE-ENZRXN // ACETATEKINA-ENZRXN
ACETATE--COA-LIGASE-RXN	"ACETATE--COA-LIGASE-RXN"	EC-6.2.1.1	ACS-ENZRXN
RXN0-6375	"RXN0-6375"		
TRANS-RXN0-571	"TRANS-RXN0-571"		ENZRXN0-7782
RXN0-1981	"RXN0-1981"		ENZRXN0-2523
ACETOACETYL-COA-TRANSFER-RXN	"ACETOACETYL-COA-TRANSFER-RXN"	EC-2.8.3.9	ENZRXN0-2778 // ACETOACETYL-COA-TRANSFER-ENZRXN
ACETOACETATE-DECARBOXYLASE-RXN	"ACETOACETATE-DECARBOXYLASE-RXN"	EC-4.1.1.4	
TRANS-RXN0-281	"TRANS-RXN0-281"		ENZRXN0-7591
RXN-17799	"RXN-17799"	EC-2.3.1.16	ENZRXN0-8289 // ENZRXN0-8283
RXN-17795	"RXN-17795"	EC-2.3.1.16	ENZRXN0-8290 // ENZRXN0-8284
RXN-17791	"RXN-17791"	EC-2.3.1.16	ENZRXN0-8291 // ENZRXN0-8285
2.3.1.180-RXN	"2.3.1.180-RXN"	EC-2.3.1.180	3-OXOACYL-ACP-COA-SYNTHIII-ENZRXN
RXN0-5055	"RXN0-5055"	EC-2.1.3.15	ACETYL-COA-CARBOXYLTRANSFER-ENZRXN
RXN0-1133	"RXN0-1133"	EC-2.3.1.12	ENZRXN0-1307
2.3.1.128-RXN	"2.3.1.128-RXN"	EC-2.3.1.266	ENZRXN0-1621
DIHYDLIPACETRANS-RXN	"DIHYDLIPACETRANS-RXN"	EC-2.3.1.12	
MALSYN-RXN	"MALSYN-RXN"	EC-2.3.3.9	MALSYNG-ENZRXN // MALATESYN-ENZRXN
RXN0-7075	"RXN0-7075"	EC-2.8.3.19	ENZRXN0-7781
RXN-17787	"RXN-17787"	EC-2.3.1.16	ENZRXN0-8292 // ENZRXN0-8286
PHOSACETYLTRANS-RXN	"PHOSACETYLTRANS-RXN"	EC-2.3.1.8	ENZRXN0-7425 // PHOSACETYLTRANS-ENZRXN
SPERMACTRAN-RXN	"SPERMACTRAN-RXN"	EC-2.3.1.57	SPERMACTRAN-ENZRXN
RXN0-7165	"RXN0-7165"	EC-2.3.1.57	ENZRXN0-8091
RXN0-6465	"RXN0-6465"		
PFLDEACTIV-RXN	"PFLDEACTIV-RXN"		PFLDEACTIV-ENZRXN
ACP-S-ACETYLTRANSFER-RXN	"ACP-S-ACETYLTRANSFER-RXN"	EC-2.3.1.86 // EC-2.3.1.85 // EC-2.3.1.38	ACP-S-ACETYLTRANSFER-ENZRXN
MALONYL-COA-ACP-TRANSACYL-RXN	"MALONYL-COA-ACP-TRANSACYL-RXN"	EC-2.3.1.86 // EC-2.3.1.85 // EC-2.3.1.39	MALONYL-COA-ACP-TRANSACYL-ENZRXN
RXN-15139	"RXN-15139"		
ADENINE-DEAMINASE-RXN	"ADENINE-DEAMINASE-RXN"	EC-3.5.4.2	ENZRXN0-2583
TRANS-RXN0-577	"TRANS-RXN0-577"		ENZRXN0-7809
TRANS-RXN0-447	"TRANS-RXN0-447"		ENZRXN0-7337
ADENODEAMIN-RXN	"ADENODEAMIN-RXN"	EC-3.5.4.4	ADENODEAMIN-ENZRXN
ADENOSINE-NUCLEOSIDASE-RXN	"ADENOSINE-NUCLEOSIDASE-RXN"	EC-3.2.2.7	ENZRXN0-7409
ADENPHOSPHOR-RXN	"ADENPHOSPHOR-RXN"	EC-2.4.2.1	ENZRXN0-8335 // ADENPHOSPHOR-ENZRXN
RXN-14113	"RXN-14113"	EC-3.1.4.16	ENZRXN0-7649
RXN-14513	"RXN-14513"	EC-3.1.3	ENZRXN0-7735
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	"325-BISPHOSPHATE-NUCLEOTIDASE-RXN"	EC-3.1.3.7	ENZRXN0-6576
1.8.4.8-RXN	"1.8.4.8-RXN"	EC-1.8.4.8	PAPSSULFOTRANS-ENZRXN
RXN-14126	"RXN-14126"	EC-3.1.3.6	ENZRXN0-7736 // ENZRXN0-7703 // ENZRXN0-7651
ADENYLYLSULFKIN-RXN	"ADENYLYLSULFKIN-RXN"	EC-2.7.1.25	ADENYLYLSULFKIN-ENZRXN
TRANS-RXN-108A	"TRANS-RXN-108A"		TRANS-ENZRXN-108
COBINPGUANYLYLTRANS-RXN	"COBINPGUANYLYLTRANS-RXN"	EC-2.7.7.62	COBINPGUANYLYLTRANS-ENZRXN
RXN-19366	"RXN-19366"		
RXN-8770	"RXN-8770"	EC-3.1.3.73	ENZRXN0-7469
COBINAMIDEKIN-RXN	"COBINAMIDEKIN-RXN"	EC-2.7.1.156	COBINAMIDEKIN-ENZRXN
COBALAMIN5PSYN-RXN	"COBALAMIN5PSYN-RXN"	EC-2.7.8.26	COBALAMIN5PSYN-ENZRXN
AMPSYN-RXN	"AMPSYN-RXN"	EC-4.3.2.2	AMPSYN-ENZRXN
RXN0-6727	"RXN0-6727"	EC-4.2.1.136	ENZRXN0-7485
ATPSYN-RXN	"ATPSYN-RXN"	EC-3.6.3.14	ENZRXN0-7818
5.1.3.20-RXN	"5.1.3.20-RXN"	EC-5.1.3.20	ENZRXN0-5762
RXN0-1441	"RXN0-1441"	EC-3.6.1.53 // EC-3.6.1.13	ENZRXN0-5801
3.6.3.53-RXN	"3.6.3.53-RXN"	EC-3.6.3.53	
TRANS-RXN-90	"TRANS-RXN-90"		ENZRXN0-6606
AGMATIN-RXN	"AGMATIN-RXN"	EC-3.5.3.11	AGMATIN-ENZRXN
RXN0-2162	"RXN0-2162"		ENZRXN0-6396
RXN0-5230	"RXN0-5230"		
RXN0-303	"RXN0-303"	EC-5.3.1	ENZRXN0-260
RXN-16804	"RXN-16804"		
DARAB5PISOM-RXN	"DARAB5PISOM-RXN"	EC-5.3.1.13	ENZRXN0-6149 // DARAB5PISOM-ENZRXN
RXN-14409	"RXN-14409"		
GALACTUROISOM-RXN	"GALACTUROISOM-RXN"	EC-5.3.1.12	GALACTUROISOM-ENZRXN
RXN-14408	"RXN-14408"		
GLUCUROISOM-RXN	"GLUCUROISOM-RXN"	EC-5.3.1.12	GLUCUROISOM-ENZRXN
RXN-14501	"RXN-14501"		
RXN-14500	"RXN-14500"		
MANNOSE-ISOMERASE-RXN	"MANNOSE-ISOMERASE-RXN"	EC-5.3.1.7	ENZRXN0-6517
RXN-14882	"RXN-14882"		
RXN-14883	"RXN-14883"		
RXN-14503	"RXN-14503"		
RXN-14808	"RXN-14808"		
RXN-14813	"RXN-14813"		
RXN-11152	"RXN-11152"	EC-3.1.1	ENZRXN0-8157
RXN0-5229	"RXN0-5229"	EC-1.1.1	ENZRXN0-6378
TRANS-RXN0-227	"TRANS-RXN0-227"		ENZRXN0-6377
DMK-RXN	"DMK-RXN"	EC-2.5.1.74	DMK-ENZRXN
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	"4OHBENZOATE-OCTAPRENYLTRANSFER-RXN"	EC-2.5.1.39	4OHBENZOATE-OCTAPRENYLTRANSFER-ENZRXN
ALLANTOATE-DEIMINASE-RXN	"ALLANTOATE-DEIMINASE-RXN"	EC-3.5.3.9	ENZRXN-323
RXN0-6723	"RXN0-6723"		
TRANS-RXN0-557	"TRANS-RXN0-557"		
RXN0-4462	"RXN0-4462"		
RXN0-4481	"RXN0-4481"		
TREHALA-RXN	"TREHALA-RXN"	EC-3.2.1.28	TREHALACYTO-ENZRXN // TREHALAPERI-ENZRXN
TREHALOSEPHOSPHA-RXN	"TREHALOSEPHOSPHA-RXN"	EC-3.1.3.12	TREHALOSEPHOSPHASYN-ENZRXN
TRE6PHYDRO-RXN	"TRE6PHYDRO-RXN"	EC-3.2.1.93	TRE6PHYDRO-ENZRXN
TRANS-RXN0-491	"TRANS-RXN0-491"		ENZRXN0-7510
GALACTOKIN-RXN	"GALACTOKIN-RXN"	EC-2.7.1.6	GALACTOKIN-ENZRXN
ALDOSE-1-EPIMERASE-RXN	"ALDOSE-1-EPIMERASE-RXN"	EC-5.1.3.3	
RXN-10639	"RXN-10639"		
PHOSPHOGLUCMUT-RXN	"PHOSPHOGLUCMUT-RXN"	EC-5.4.2.2	PHOSPHOGLUCMUT-ENZRXN
GLUC1PADENYLTRANS-RXN	"GLUC1PADENYLTRANS-RXN"	EC-2.7.7.27	GLUC1PADENYLTRANS-ENZRXN
DTDPGLUCOSEPP-RXN	"DTDPGLUCOSEPP-RXN"	EC-2.7.7.24	DTDPGLUCOSEPP2-ENZRXN // DTDPGLUCOSEPP-ENZRXN
GLUCOSE-1-PHOSPHAT-RXN	"GLUCOSE-1-PHOSPHAT-RXN"	EC-3.1.3.10	ENZRXN0-6256 // GLUCOSE-1-PHOSPHAT-ENZRXN
GLUC1PURIDYLTRANS-RXN	"GLUC1PURIDYLTRANS-RXN"	EC-2.7.7.64 // EC-2.7.7.9	ENZRXN0-7402
GLUCOSAMINE-6-P-DEAMIN-RXN	"GLUCOSAMINE-6-P-DEAMIN-RXN"	EC-3.5.99.6	GLUCOSAMINE-6-P-DEAMIN-ENZRXN
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	"GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN"	EC-5.1.3.15	
RXN-15312	"RXN-15312"	EC-3.1.3.58 // EC-3.1.3.9	
RXN0-7172	"RXN0-7172"		
RXN0-5118	"RXN0-5118"	EC-2.4	ENZRXN0-6220
RXN-16281	"RXN-16281"	EC-2.7.4.29	ENZRXN-23507
RXN0-2001	"RXN0-2001"	EC-2.4.2.43	ENZRXN0-2541
RXN-14815	"RXN-14815"	EC-5.1.3	
PHOSMANMUT-RXN	"PHOSMANMUT-RXN"	EC-5.4.2.8	PHOSMANMUT-ENZRXN
2.7.7.13-RXN	"2.7.7.13-RXN"	EC-2.7.7.13	ENZRXN0-6538
RXN-17725	"RXN-17725"	EC-3.1.3	ENZRXN0-8149
RXN-14904	"RXN-14904"		
RIBOKIN-RXN	"RIBOKIN-RXN"	EC-2.7.1.15	RIBOKIN-ENZRXN
RXN0-1401	"RXN0-1401"	EC-2.7.4.23	ENZRXN0-1721
RXN-14997	"RXN-14997"		
RXN-15345	"RXN-15345"		
RXN-17955	"RXN-17955"	EC-3.6.1.63	ENZRXN-25004
RXN0-6733	"RXN0-6733"	EC-3.6.1.63	ENZRXN0-7495
PPENTOMUT-RXN	"PPENTOMUT-RXN"	EC-5.4.2.7	PPENTOMUT
RXN0-1402	"RXN0-1402"		ENZRXN0-1741
RXN-16998	"RXN-16998"		
RXN0-5057	"RXN0-5057"		ENZRXN0-6168
RXN-11326	"RXN-11326"	EC-2.4.99.15	ENZRXN0-6230
KDOTRANS2-RXN	"KDOTRANS2-RXN"	EC-2.4.99.13	KDOTRANS2-ENZRXN
RXN0-5298	"RXN0-5298"	EC-5.1.3.29	ENZRXN0-6457
FUCISOM-RXN	"FUCISOM-RXN"	EC-5.3.1.25	FUCISOM-ENZRXN
RXN0-5306	"RXN0-5306"	EC-5.1.3.32	ENZRXN0-6481
RXN0-5363	"RXN0-5363"	EC-5.4.1	ENZRXN0-6526
TRANS-RXN-82	"TRANS-RXN-82"		TRANS-ENZRXN-205 // TRANS-ENZRXN-204
TRANS-RXN-24	"TRANS-RXN-24"		TRANS-ENZRXN-24
RXN-16788	"RXN-16788"	EC-3.1.3.73	RIBAZOLEPHOSPHAT-ENZRXN
AMACETOXID-RXN	"AMACETOXID-RXN"	EC-1.4.3.21	AMACETOXID-ENZRXN
RXN0-6452	"RXN0-6452"		ENZRXN0-7364
RXN0-7014	"RXN0-7014"	EC-2.3.1	ENZRXN0-7609
RXN-11811	"RXN-11811"		
TRANS-RXN0-544	"TRANS-RXN0-544"		
RXN-13854	"RXN-13854"	EC-1.7.1.15	NITRITREDUCT-ENZRXN
HYDROXYLAMINE-REDUCTASE-RXN	"HYDROXYLAMINE-REDUCTASE-RXN"	EC-1.7.99.1	ENZRXN0-2041
NAD-SYNTH-NH3-RXN	"NAD-SYNTH-NH3-RXN"	EC-6.3.1.5	NAD-SYNTH-NH3-ENZRXN
CARBAMATE-KINASE-RXN	"CARBAMATE-KINASE-RXN"	EC-2.7.2.2	ENZRXN0-7582
GMP-REDUCT-RXN	"GMP-REDUCT-RXN"	EC-1.7.1.7	GMP-REDUCT-ENZRXN
GLUTAMINESYN-RXN	"GLUTAMINESYN-RXN"	EC-6.3.1.2	GLUTAMINESYN-ENZRXN
TRANS-RXN0-206	"TRANS-RXN0-206"		ENZRXN0-6382
ADENYL-KIN-RXN	"ADENYL-KIN-RXN"	EC-2.7.4.3	ADENYL-KIN-ENZRXN
ADENPRIBOSYLTRAN-RXN	"ADENPRIBOSYLTRAN-RXN"	EC-2.4.2.7	ADENPRIBOSYLTRAN-ENZRXN
AMP-DEPHOSPHORYLATION-RXN	"AMP-DEPHOSPHORYLATION-RXN"	EC-3.1.3.5	ENZRXN0-7738
AMP-NUCLEOSID-RXN	"AMP-NUCLEOSID-RXN"	EC-3.2.2.4	AMP-NUCLEOSID-ENZRXN
TRANS-RXN-238	"TRANS-RXN-238"	EC-3.6.3	ENZRXN0-7681
RXN-17363	"RXN-17363"	EC-2.3.1	ENZRXN0-8096
RXN-17700	"RXN-17700"	EC-3.2.1.199	ENZRXN0-8141
ACETYLESTERASE-RXN	"ACETYLESTERASE-RXN"	EC-3.1.1.6	ENZRXN0-2962
CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN	"CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN"	EC-3.1.2.16	
ACYLPHOSPHATASE-RXN	"ACYLPHOSPHATASE-RXN"	EC-3.6.1.7	ENZRXN0-6314
RXN-1623	"RXN-1623"	EC-2.3.1.51	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-ENZRXN
ACYL-COA-HYDROLASE-RXN	"ACYL-COA-HYDROLASE-RXN"	EC-3.1.2.20	THIOESTERII-ENZRXN // ENZRXN0-6510
RXN-1381	"RXN-1381"	EC-2.3.1.15	GLYCEROL-3-P-ACYLTRANSFER-ENZRXN
ACYLGPEACYLTRANS-RXN	"ACYLGPEACYLTRANS-RXN"	EC-2.3.1.40	ACYLGPEACYLTRANS-ENZRXN
2.3.1.41-RXN	"2.3.1.41-RXN"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN0-7826
1.3.1.9-RXN	"1.3.1.9-RXN"	EC-1.3.1.9	ENZRXN0-7707
RXN-9590	"RXN-9590"	EC-2.3.1	ENZRXN0-8448
RXN-17919	"RXN-17919"		
RXN0-1081	"RXN0-1081"	EC-3.5.4	ENZRXN0-1241
ADPSUGPPHOSPHAT-RXN	"ADPSUGPPHOSPHAT-RXN"	EC-3.6.1.21	ENZRXN0-5822 // ENZRXN0-5803
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	"ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN"	EC-1.1.1.2	ENZRXN0-7886 // ENZRXN0-7621 // ENZRXN0-7620 // ENZRXN0-6511
CARBOXYLATE-REDUCTASE-RXN	"CARBOXYLATE-REDUCTASE-RXN"	EC-1.2.99.6	ENZRXN0-8115
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	"ALDEHYDE-DEHYDROGENASE-NADP+-RXN"	EC-1.2.1.4	
RXN0-7247	"RXN0-7247"		ENZRXN0-8228 // ENZRXN0-8209 // ENZRXN0-8191
1.2.99.7-RXN	"1.2.99.7-RXN"	EC-1.2.99.7	
RXN0-7242	"RXN0-7242"		ENZRXN0-8223 // ENZRXN0-8204 // ENZRXN0-8186
RXN0-6371	"RXN0-6371"	EC-1.1.5	ENZRXN0-6245
DIAMTRANSAM-RXN	"DIAMTRANSAM-RXN"	EC-2.6.1.29	DIAMTRANSAM-ENZRXN
DIAMACTRANS-RXN	"DIAMACTRANS-RXN"	EC-2.3.1.57	ENZRXN0-8090
AMINEOXID-RXN	"AMINEOXID-RXN"	EC-1.4.3.21	AMINEOXID-ENZRXN
3.2.2.21-RXN	"3.2.2.21-RXN"	EC-3.2.2.21	ENZRXN0-6303
RXN0-280	"RXN0-280"	EC-1.14.14.5	ENZRXN0-278
RXN0-5146	"RXN0-5146"	EC-3.2.1.196	ENZRXN0-2142
RXN0-7245	"RXN0-7245"		ENZRXN0-8226 // ENZRXN0-8207 // ENZRXN0-8189
RXN0-5200	"RXN0-5200"	EC-2.6.1	ENZRXN0-6291
RXN0-7244	"RXN0-7244"		ENZRXN0-8225 // ENZRXN0-8206 // ENZRXN0-8188
TRANS-RXN0-612	"TRANS-RXN0-612"		ENZRXN0-8055 // ENZRXN0-8042 // ENZRXN0-8028
HOLO-ACP-SYNTH-RXN	"HOLO-ACP-SYNTH-RXN"	EC-2.7.8.7	ENZRXN0-264 // HOLO-ACP-SYNTH-ENZRXN
2.6.1.57-RXN	"2.6.1.57-RXN"	EC-2.6.1.57	ENZRXN-20453
TRANS-RXN0-265	"TRANS-RXN0-265"		ENZRXN0-6505
RXN0-7206	"RXN0-7206"		ENZRXN0-8235 // ENZRXN0-8216 // ENZRXN0-8198
ARYLSULFAT-RXN	"ARYLSULFAT-RXN"	EC-3.1.6.1	ARYLSULFAT-ENZRXN
ARYLAMINE-N-ACETYLTRANSFERASE-RXN	"ARYLAMINE-N-ACETYLTRANSFERASE-RXN"	EC-2.3.1.5	ENZRXN0-7688
TRANS-RXN0-596	"TRANS-RXN0-596"		ENZRXN0-7931
TRANS-RXN0-628	"TRANS-RXN0-628"		ENZRXN0-8424
TRANS-RXN-311	"TRANS-RXN-311"	EC-3.6.3.44	ENZRXN0-8307
TRANS-RXN-44	"TRANS-RXN-44"		ENZRXN0-8059 // ENZRXN0-7526 // ENZRXN0-7525 // ENZRXN0-7524 // TRANS-ENZRXN-45 // TRANS-ENZRXN-39 // TRANS-ENZRXN-42
RXN0-2561	"RXN0-2561"		ENZRXN0-3661
TRANS-RXN-92	"TRANS-RXN-92"		ENZRXN0-6316 // ENZRXN0-6151 // ENZRXN0-3641 // ENZRXN0-3621 // ENZRXN0-3601 // TRANS-ENZRXN-86 // TRANS-ENZRXN-89
RXN-15210	"RXN-15210"		ENZRXN0-7816
NQOR-RXN	"NQOR-RXN"	EC-1.6.5.2	ENZRXN0-7470 // ENZRXN0-6239 // ENZRXN0-4742
RXN0-271	"RXN0-271"	EC-1.6.5.10	ENZRXN0-246
RXN0-5259	"RXN0-5259"		
RXN-17661	"RXN-17661"		
TRANS-RXN0-600	"TRANS-RXN0-600"		
TRANS-RXN0-614	"TRANS-RXN0-614"		ENZRXN0-8056 // ENZRXN0-8043 // ENZRXN0-8029
RXN0-5131	"RXN0-5131"	EC-2.7.7	ENZRXN0-7533 // ENZRXN0-6235 // ENZRXN0-6234
TRANS-RXN0-601	"TRANS-RXN0-601"		ENZRXN0-8046 // ENZRXN0-8033 // ENZRXN0-8017
REDUCEDFE-S-RXN	"REDUCEDFE-S-RXN"		
PHOSICITDEHASE-RXN	"PHOSICITDEHASE-RXN"	EC-2.7.11.5	ICITDEHKINASE-ENZRXN
RXN0-7012	"RXN0-7012"		ENZRXN0-7606
RXN0-5223	"RXN0-5223"	EC-2.7.1	ENZRXN0-6369
RXN-16286	"RXN-16286"	EC-2.7.8.42	ENZRXN-23508
RXN0-7272	"RXN0-7272"		ENZRXN0-8363
RXN0-4581	"RXN0-4581"	EC-2.7.8.42	ENZRXN0-5881
RXN0-6952	"RXN0-6952"	EC-3.1.1.32	ENZRXN0-2923
RXN0-6725	"RXN0-6725"	EC-3.1.1.4	ENZRXN0-7480
RXN-14379	"RXN-14379"		ENZRXN0-7689
RXN-14363	"RXN-14363"		ENZRXN0-7686
RXN-17846	"RXN-17846"	EC-2.3.2.6	ENZRXN-24926
LEUCYLTRANSFERASE-RXN	"LEUCYLTRANSFERASE-RXN"	EC-2.3.2.6	ENZRXN0-1581
RXN-17847	"RXN-17847"	EC-2.3.2.6	ENZRXN-24927
RXN-17848	"RXN-17848"	EC-2.3.2.6	ENZRXN-24928
RXN0-6381	"RXN0-6381"	EC-3.1.26	ENZRXN0-7447 // ENZRXN0-6616 // ENZRXN0-7314 // ENZRXN0-7313
RXN0-5509	"RXN0-5509"	EC-3.1.26	ENZRXN0-7817 // ENZRXN0-5581 // ENZRXN0-7259
RXN0-4701	"RXN0-4701"		ENZRXN0-5961
3.1.27.6-RXN	"3.1.27.6-RXN"	EC-3.1.27.6	ENZRXN0-4901
3.2.1.52-RXN	"3.2.1.52-RXN"	EC-3.2.1.52	ENZRXN0-241
2.3.1.118-RXN	"2.3.1.118-RXN"	EC-2.3.1.118	ENZRXN-21
AMINOCYL-TRNA-HYDROLASE-RXN	"AMINOCYL-TRNA-HYDROLASE-RXN"	EC-3.1.1.29	ENZRXN0-7420 // ENZRXN0-1628
RXN0-3261	"RXN0-3261"	EC-3.4.11	ENZRXN0-4501
RXN-18434	"RXN-18434"	EC-2.3.1.267	ENZRXN0-1622
RXN0-986	"RXN0-986"	EC-1.14.11.33	ENZRXN0-1143
RXN-18737	"RXN-18737"	EC-1.14.11.33	ENZRXN0-8371
RXN0-5189	"RXN0-5189"	EC-3.2.2.20	ENZRXN0-6274
RXN-18738	"RXN-18738"	EC-1.14.11.33	ENZRXN0-8372
RXN-17632	"RXN-17632"	EC-3.5.1.124	ENZRXN0-8330 // ENZRXN0-8329 // ENZRXN0-8328
RXN0-7115	"RXN0-7115"		ENZRXN0-7867
RXN-17635	"RXN-17635"		
RXN-17630	"RXN-17630"	EC-3.5.1.124	ENZRXN0-8332
RXN0-7013	"RXN0-7013"		ENZRXN0-7607
RXN-17824	"RXN-17824"	EC-2.1.1.63	ENZRXN0-8334 // ENZRXN0-8305
RXN-9527	"RXN-9527"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN-15222
RXN0-947	"RXN0-947"	EC-2.3.1.181	ENZRXN0-1084
RXN-9659	"RXN-9659"	EC-1.3.1.9	ENZRXN0-7440
3.1.13.3-RXN	"3.1.13.3-RXN"	EC-3.1.13.3	ENZRXN0-2681
3.4.24.70-RXN	"3.4.24.70-RXN"	EC-3.4.24.70	ENZRXN0-4262
3.4.21.83-RXN	"3.4.21.83-RXN"	EC-3.4.21.83	ENZRXN0-4241
RXN0-7202	"RXN0-7202"		ENZRXN0-8232 // ENZRXN0-8213 // ENZRXN0-8195
3.6.3.23-RXN	"3.6.3.23-RXN"	EC-3.6.3.23	ENZRXN0-8325 // ENZRXN0-8324
3.4.15.5-RXN	"3.4.15.5-RXN"	EC-3.4.15.5	ENZRXN0-4502
RXN0-5468	"RXN0-5468"	EC-1.11.1.15	ENZRXN0-7909 // ENZRXN0-254 // ENZRXN0-252
R4-RXN	"R4-RXN"	EC-1.8.1	ENZRXN0-255
RXN0-7211	"RXN0-7211"		ENZRXN0-8240 // ENZRXN0-8222 // ENZRXN0-8202
TRANS-RXN0-604	"TRANS-RXN0-604"		ENZRXN0-8049 // ENZRXN0-8036 // ENZRXN0-8020
PGLYCEROLTRANSII-RXN	"PGLYCEROLTRANSII-RXN"	EC-2.7.8.21	PGLYCEROLTRANSII-ENZRXN
PGLYCEROLTRANSI-RXN	"PGLYCEROLTRANSI-RXN"	EC-2.7.8.20	PGLYCEROLTRANSI-ENZRXN
RXN-15815	"RXN-15815"		
RXN-17784	"RXN-17784"	EC-1.3.8	ENZRXN0-8245
RXN-17788	"RXN-17788"	EC-1.3.8	ENZRXN0-8246
FAD-RED-RXN	"FAD-RED-RXN"		
FMN-RED-RXN	"FMN-RED-RXN"		
GLUTAREDOXIN-RXN	"GLUTAREDOXIN-RXN"		
RXN0-307	"RXN0-307"	EC-1.6	ENZRXN0-259
RXN-13853	"RXN-13853"	EC-1.7.1	ENZRXN0-7612
R303-RXN	"R303-RXN"	EC-1	ENZRXN-503
